case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.008,4.9387836043024436e-06,16,35.65340805053711,95.95701599121094,0.2820400297641754,1.6000648736953735,4.9387836043024436e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.009,4.482580607145792e-06,15,36.06163787841797,83.81047821044922,0.29362478852272034,1.8071027994155884,4.482580607145792e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,1.707720631571874e-09,16,0.010834851302206516,0.03874523565173149,0.001968845259398222,0.010479633696377277,5.814131327497307e-06,0.9997062810357421,99.97062810357421
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,1.8680574864760047e-09,17,0.009768018499016762,0.03762812912464142,0.0014599717687815428,0.008692622184753418,5.888798114028759e-06,0.9996827778011228,99.96827778011227
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,1.7629253612483353e-09,16,0.01141911931335926,0.06046393886208534,0.0012834846274927258,0.005288302898406982,4.9387836043024436e-06,0.9996430446234347,99.96430446234346
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,1.3474816817904411e-09,15,0.010391614399850368,0.0317496731877327,0.0017970952903851867,0.007979369722306728,4.482580607145792e-06,0.9996993959953241,99.96993959953241
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,2.782753139030092e-09,16,0.017951417714357376,0.06367594003677368,0.0012977663427591324,0.008021851070225239,5.814131327497307e-06,0.9995213811002395,99.95213811002395
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,3.153129535249377e-09,17,0.01678631454706192,0.06524962186813354,0.0013198094675317407,0.007332701236009598,5.888798114028759e-06,0.9994645546554334,99.94645546554334
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,3.107580415218081e-09,16,0.020201541483402252,0.12299831956624985,0.0011026201536878943,0.005248063709586859,4.9387836043024436e-06,0.9993707802033458,99.93707802033458
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,2.4146078470010934e-09,15,0.01897134818136692,0.0561181902885437,0.0014154271921142936,0.004651544615626335,4.482580607145792e-06,0.9994613353202948,99.94613353202948
