case,seed,state,step,Delta,variant,init_strategy,cut_x,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.009,1.886888094304595e-05,-1.482964762544725e-06,31,26
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.006,0.00018686284602154046,2.6104712560481858e-06,26,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.007,0.00018089440709445626,2.2318445189739577e-06,27,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.008,0.0001759369915816933,3.296695240351255e-06,27,31
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.009,0.00017144947196356952,3.6132848890702007e-06,28,25
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.006,0.00018666662799660116,2.41302609538252e-06,26,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.007,0.00018072038074024022,1.7835060361903743e-06,27,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.008,0.00017581477004569024,2.7158791908732383e-06,27,31
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_degraded_in_crack_band,saved_uv_prefit,0.009,0.00017145593301393092,3.143383537462796e-06,28,25
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.006,0.0001866120146587491,2.810221531035495e-06,26,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.007,0.00018071947852149606,2.1418529740913073e-06,27,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,0.00017599339480511844,3.073055722779827e-06,27,31
