step,Delta,strain,checkpoint,history_source,reaction_N_energy_exact,reaction_N_energy_virtual_work,reaction_N_legacy_top_sigma,reaction_N_bottom_sigma_legacy,reaction_N_internal_cut_above,reaction_N_internal_cut_below,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,legacy_metric_status,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,seed
20,6.7e-05,0.0067,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0020.pt,checkpoint_step_0019_post_history,0.016745390894357115,,0.7590693588268155,-1.1201169097014614,0.4768780643503313,0.686561868503355,149,149,3.2253741992681757,6.346910197407851e-08,3.881616450485126e-08,2.4652939245584093e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005082121561568828,0.004937863443046808,42
21,6.9e-05,0.0069,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0021.pt,checkpoint_step_0020_post_history,0.009191560820909217,,0.7605187055292238,-1.1295656848267224,0.4911816322997996,0.6469277320675723,149,149,3.34039347299311,6.349993242338314e-08,3.878929177858481e-08,2.4710638868441492e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005082121561568828,0.004937863443046808,42
22,7.1e-05,0.0071,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0022.pt,checkpoint_step_0021_post_history,0.011153752893733326,,0.846388458824226,-1.1158243069503015,0.4516504602005583,0.6699240325162688,148,149,3.336854332076261,6.350301617885634e-08,3.877694609855098e-08,2.4726070080305362e-08,energy_exact_primary,True,legacy_diagnostic_only,True,160,0.005021084565669298,0.009958948008716106,0.0050831615197239445,0.004937863443046808,42
23,7.3e-05,0.0073,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0023.pt,checkpoint_step_0022_post_history,0.014568025108019356,,0.8276058226119603,-1.092216859423307,0.37003753243447673,0.6649253168153023,148,149,3.5434089465755223,6.352182424507191e-08,3.877878995695028e-08,2.4743032511764795e-08,energy_exact_primary,True,legacy_diagnostic_only,True,160,0.005021084565669298,0.009958948008716106,0.0050831615197239445,0.004937863443046808,42
24,7.5e-05,0.007499999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0024.pt,checkpoint_step_0023_post_history,0.006286295047175372,,0.8639850947335509,-1.1211576185986438,0.4278527745390005,0.6854589957009121,148,149,3.6548831130846744,6.354014203679981e-08,3.876479581776948e-08,2.4775346219030325e-08,energy_exact_primary,True,legacy_diagnostic_only,True,160,0.005021084565669298,0.009958948008716106,0.0050831615197239445,0.004937863443046808,42
25,7.7e-05,0.0077,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0025.pt,checkpoint_step_0024_post_history,0.008655253623146564,,0.8564791127942127,-1.1164765619095824,0.44953929257838765,0.6691443572869862,148,149,3.7907131535421326,6.356823689657176e-08,3.875594956070927e-08,2.4812283783148814e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005083426631941104,0.004937863443046808,42
26,8e-05,0.008,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0026.pt,checkpoint_step_0025_post_history,0.005647035322908778,,0.8340860840073184,-1.1146245773829795,0.46766391303379595,0.6454677330389499,148,149,4.0324131981049005,6.359304194347715e-08,3.875079102044765e-08,2.4842252699386336e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005083426631941104,0.004937863443046808,42
27,8.3e-05,0.0083,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0027.pt,checkpoint_step_0026_post_history,0.0047866060413070954,,0.8545664643868468,-1.0855645510695036,0.47566388037144564,0.6787414047481939,148,149,4.287859658832184,6.360108528724595e-08,3.87563297010729e-08,2.484475736252989e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005083426631941104,0.004937863443046808,42
28,8.6e-05,0.0086,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0028.pt,checkpoint_step_0027_post_history,0.005723264621337876,,0.8552690744047743,-1.062807490087037,0.38643146557788877,0.6386723118436739,148,149,4.598335339265262,6.363212889937131e-08,3.8747490549440045e-08,2.4884636573574426e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005083426631941104,0.004937863443046808,42
29,8.9e-05,0.0089,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed42_history_default_unitbox\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0029.pt,checkpoint_step_0028_post_history,0.010388457667431794,,0.8505739037143487,-1.0623994340408711,0.4563283594839636,0.6312284286268816,148,149,4.678483003450224,6.363906379647233e-08,3.8766145848967426e-08,2.487292150021858e-08,energy_exact_primary,True,legacy_diagnostic_only,True,162,0.005021084565669298,0.009958948008716106,0.005083426631941104,0.004937863443046808,42
