case_id,epoch,loss_kind,energy_mode,loss,displacement_mse,strain_mse,energy_log10,elastic_energy
prefit_disp_strain_global,150,disp_strain_global,none,9.185536310523865e-14,5.701321169728282e-14,3.4935825343751503e-09,-10.151158332824707,7.060611817433227e-11
prefit_disp_strain_global,200,disp_strain_global,none,9.017159713136866e-14,5.531891879794436e-14,3.499021739017394e-09,-10.145891189575195,7.14674847079877e-11
prefit_disp_strain_global,250,disp_strain_global,none,8.915180334419237e-14,5.466376253016568e-14,3.4454792352534014e-09,-10.14837646484375,7.10597553021941e-11
prefit_disp_strain_global,300,disp_strain_global,none,8.95781658485223e-14,5.507042982440605e-14,3.4510347912686257e-09,-10.145727157592773,7.14946574165154e-11
prefit_disp_strain_global,350,disp_strain_global,none,8.886222649644865e-14,5.4702942886173875e-14,3.4109706170681875e-09,-10.145010948181152,7.161254922394278e-11
prefit_disp_strain_global,400,disp_strain_global,none,8.886401543003325e-14,5.465145344737618e-14,3.4206713017681523e-09,-10.146157264709473,7.142382518754431e-11
prefit_disp_strain_global,450,disp_strain_global,none,8.86024584321847e-14,5.4745382624963104e-14,3.38038197433832e-09,-10.145157814025879,7.15884435065206e-11
prefit_disp_strain_global,500,disp_strain_global,none,8.914964171611098e-14,5.448777618878055e-14,3.4637914758661736e-09,-10.14527416229248,7.156911174810432e-11
prefit_disp_strain_global,550,disp_strain_global,none,8.822234392677486e-14,5.465742333558843e-14,3.3460585413536137e-09,-10.144826889038086,7.164286525140895e-11
prefit_disp_strain_global,600,disp_strain_global,none,8.968704007543057e-14,5.448519443235732e-14,3.475270293762378e-09,-10.144941329956055,7.162404697114155e-11
prefit_disp_strain_global,650,disp_strain_global,none,8.826615247080685e-14,5.405453916505071e-14,3.4193707865171064e-09,-10.14577865600586,7.148601155471113e-11
prefit_disp_strain_global,700,disp_strain_global,none,8.914079869214164e-14,5.429592322622745e-14,3.454194041907499e-09,-10.14592170715332,7.146255809331592e-11
prefit_disp_strain_global,750,disp_strain_global,none,8.826472267919189e-14,5.3815157489761276e-14,3.435970175047487e-09,-10.145956039428711,7.145691677257204e-11
prefit_disp_strain_global,800,disp_strain_global,none,8.882957845852968e-14,5.4455284004923873e-14,3.4501472789827403e-09,-10.144948959350586,7.162276327576933e-11
energy_continuation_from_disp_strain_global_raw,1,energy,raw,7.162276327576933e-11,1.6461491891828217e-11,4.025640976124123e-07,-8.154807090759277,7.001525137440012e-09
energy_continuation_from_disp_strain_global_raw,50,energy,raw,6.325779483562499e-11,6.083471264716964e-14,4.9756385678279e-09,-10.198953628540039,6.324799711743267e-11
energy_continuation_from_disp_strain_global_raw,100,energy,raw,6.294394172545736e-11,5.962328612600654e-14,5.139366709983051e-09,-10.201078414916992,6.293932736101127e-11
energy_continuation_from_disp_strain_global_raw,150,energy,raw,6.290735987679597e-11,5.906505075618448e-14,5.345089260089253e-09,-10.20131778717041,6.290461207481002e-11
energy_continuation_from_disp_strain_global_raw,200,energy,raw,6.2889665697341e-11,5.940805166597743e-14,5.605587105605991e-09,-10.201436996459961,6.288734116788319e-11
energy_continuation_from_disp_strain_global_log10,1,energy,log10,-10.144948959350586,1.6461491891828217e-11,4.025640976124123e-07,-8.154807090759277,7.001525137440012e-09
energy_continuation_from_disp_strain_global_log10,50,energy,log10,-10.198885917663574,6.083482106738688e-14,4.97563990009553e-09,-10.198953628540039,6.324800405632658e-11
