seed,step,Delta,mode,R_energy_exact_N,R_virtual_current_sigma_N,R_energy_minus_virtual_current_sigma_N,relative_error_current_sigma,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,alpha0p8_through_crack
7,3,1.5e-05,affine_vertical_mode,1.2399257393553853,0.6510688662528992,0.5888568731024861,0.47491301649131185,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,False
7,4,2e-05,global_delta_mode,1.5864964807406068,0.9621469378471375,0.6243495428934693,0.3935398221633691,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,False
7,4,2e-05,pure_top_vertical_mode,1.5885207103565335,0.8007524013519287,0.7877683090046048,0.4959131498057681,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,False
7,4,2e-05,no_horizontal_delta_mode,1.5881373547017574,0.8116658329963684,0.776471521705389,0.4889196261309562,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,False
7,4,2e-05,affine_vertical_mode,1.5885207103565335,0.8007524013519287,0.7877683090046048,0.4959131498057681,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,False
7,5,2.5e-05,global_delta_mode,1.7821155488491058,0.939889132976532,0.8422264158725739,0.4725992186177184,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,False
7,5,2.5e-05,pure_top_vertical_mode,1.7775609157979488,0.875530481338501,0.9020304344594479,0.507454021093013,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,False
7,5,2.5e-05,no_horizontal_delta_mode,1.7798006301745772,0.7554026246070862,1.024398005567491,0.5755689644109239,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,False
7,5,2.5e-05,affine_vertical_mode,1.7775609157979488,0.875530481338501,0.9020304344594479,0.507454021093013,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,False
7,6,3e-05,global_delta_mode,1.8339642556384206,0.46583643555641174,1.3681278200820088,0.7459948119903517,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,False
7,6,3e-05,pure_top_vertical_mode,1.8303684191778302,0.8788707256317139,0.9514976935461164,0.5198394397415973,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,False
7,6,3e-05,no_horizontal_delta_mode,1.8333252519369125,0.2214042693376541,1.6119209825992584,0.8792335025638577,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,False
7,6,3e-05,affine_vertical_mode,1.8303684191778302,0.8788707256317139,0.9514976935461164,0.5198394397415973,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,False
