case,seed,variant,cut_type,cut_location,effective_normal_force_N,effective_shear_force_N,undegraded_normal_force_N,undegraded_shear_force_N,top_boundary_reaction_N,cut_force_explains_top_reaction_ratio,cut_length_mm,element_count
D0040_seed42_default_unitbox,42,continuous_baseline,horizontal_below,0.004084527587872341,0.5225280320755892,0.11751162009360895,1.081194956895133,0.1297499106049803,0.7977702892232456,0.6549855755901265,0.009999999776482586,150
D0040_seed42_default_unitbox,42,continuous_baseline,horizontal_above,0.006084527587872341,0.5027410301564794,-0.03758565505797938,1.0823667125910283,-0.04276393630497566,0.7977702892232456,0.6301826941261207,0.009999999776482582,148
D0040_seed42_default_unitbox,42,continuous_baseline,crack_band_interface,,-8.01800031027382,0.048851853277429226,,,0.7977702892232456,-10.050512558045499,0.01602012664079666,109
D0040_seed42_default_unitbox,42,split_domain_current_split,vertical,0.006,-13.00010065404281,0.1362955033095076,6.650114231054409,2.8970347640457343,0.7556920764095074,0.1803585184551405,0.009999999776482582,100
D0040_seed42_default_unitbox,42,split_domain_current_split,vertical,0.007,-13.566549879995723,0.4694111066876296,7.094777534769768,3.883312669869296,0.7556920764095074,0.6211671676086981,0.009999999776482584,99
D0040_seed42_default_unitbox,42,split_domain_current_split,vertical,0.008,-10.828108502906595,0.0120171078989633,6.661244665312483,0.9919296993983207,0.7556920764095074,0.015902122404220186,0.009999999776482586,100
D0040_seed42_default_unitbox,42,split_domain_current_split,vertical,0.009,-11.216955038560915,-0.04516935177631417,6.330298076466221,-1.7973086420736826,0.7556920764095074,-0.05977216539165752,0.009999999776482582,97
D0040_seed42_default_unitbox,42,split_domain_current_split,horizontal_below,0.004084527587872341,0.5803977243551776,0.1943162434066668,1.1619220724080255,0.22700778049490994,0.7556920764095074,0.7680346830058089,0.009999999776482586,150
D0040_seed42_default_unitbox,42,split_domain_current_split,horizontal_above,0.006084527587872341,0.5293942339612974,-0.09479123164956584,1.070316166598679,-0.10960292535517008,0.7556920764095074,0.700542258530206,0.009999999776482582,148
D0040_seed42_default_unitbox,42,split_domain_current_split,crack_band_interface,,-7.416915978332182,-0.10748044837901263,,,0.7556920764095074,-9.814733024027337,0.01602012664079666,109
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,vertical,0.006,-0.6196734242469488,-0.04948145091417568,6.666900393545232,2.9100980354071546,0.8266205024898183,-0.05985993665186783,0.009999999776482582,100
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,vertical,0.007,-0.33585292726167987,0.033447817962912234,6.740326195343427,3.8829162461524556,0.8266205024898183,0.04046332974099468,0.009999999776482584,99
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,vertical,0.008,-0.3850487110530732,-0.015677655354586765,6.634351939444146,0.982438310187724,0.8266205024898183,-0.018965964801701575,0.009999999776482586,100
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,vertical,0.009,-0.6651103015864872,0.0766991206199157,6.313882322717344,-1.7725250140169075,0.8266205024898183,0.09278637583860366,0.009999999776482582,97
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,horizontal_below,0.004084527587872341,0.5864851223391555,0.1725564777788139,1.1553386730375101,0.20020745304423632,0.8266205024898183,0.7094974302870977,0.009999999776482586,150
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,horizontal_above,0.006084527587872341,0.49954190810391125,-0.09889614549729607,1.0775845190051228,-0.11104256653336692,0.8266205024898183,0.604318313663003,0.009999999776482582,148
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,crack_band_interface,,-7.717179579564804,-0.04736934570944621,,,0.8266205024898183,-9.335819225775685,0.01602012664079666,109
D0040_seed42_default_unitbox,42,split_domain_crack_band_void,vertical,0.006,-0.3555532760067559,-0.04882631289571284,5.8408754733003505,2.6027583373975434,0.39610128049570553,-0.12326724325306039,0.009999999776482582,100
D0040_seed42_default_unitbox,42,split_domain_crack_band_void,vertical,0.007,-0.1640909048450508,0.07118567090333806,6.183997764089202,3.6160326463517833,0.39610128049570553,0.1797158313001461,0.009999999776482584,99
