case,seed,variant,stress_version,boundary,subdomain,integrated_sigma_xx_nx_plus_sigma_xy_ny_N,integrated_sigma_xy_nx_plus_sigma_yy_ny_N,normal_force_N,tangential_force_N,boundary_length_mm,edge_count
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,top,whole,0.04626713673445026,1.3841940980853036,1.3841940980853036,0.04626713673445026,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,physical_boundary_sum,whole,4.975475555045454,-3.88055542941229,,,,106
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,left,upper,-0.03552584944629887,0.013217534151759238,0.03552584944629887,0.013217534151759238,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,right,upper,4.620787231358403,-3.87702460171442,4.620787231358403,-3.87702460171442,0.004799999762326479,16
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,top,upper,0.04626713673445026,1.3841940980853036,1.3841940980853036,0.04626713673445026,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,physical_boundary_sum,upper,4.631528518646554,-2.4796129694773574,,,,52
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,right,lower,0.35840593412950195,-0.010913364594059054,0.35840593412950195,-0.010913364594059054,0.005200000014156103,18
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,bottom,lower,0.008699029904681577,-1.3801696136492356,1.3801696136492356,0.008699029904681577,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,left,lower,-0.023157927635284473,-0.009859481691637379,0.023157927635284473,-0.009859481691637379,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,total,physical_boundary_sum,lower,0.34394703639889906,-1.400942459934932,,,,54
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,right,whole,-0.4784526578295741,-0.0024529856371441755,-0.4784526578295741,-0.0024529856371441755,0.009999999776482582,34
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,bottom,whole,-0.0440478789868319,-0.5930903812132025,0.5930903812132025,-0.0440478789868319,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,left,whole,-0.0737751967498711,0.0030108557609708,0.0737751967498711,0.0030108557609708,0.00989999994635582,34
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,top,whole,-0.06058886429257083,0.8748153152888245,0.8748153152888245,-0.06058886429257083,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,physical_boundary_sum,whole,-0.6568645978588479,0.28228280419944873,,,,106
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,left,upper,-0.04774278659869474,0.00903943476311946,0.04774278659869474,0.00903943476311946,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,right,upper,-0.17403181055311057,-0.043005731928014546,-0.17403181055311057,-0.043005731928014546,0.004799999762326479,16
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,top,upper,-0.06058886429257083,0.8748153152888245,0.8748153152888245,-0.06058886429257083,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,physical_boundary_sum,upper,-0.28236346144437613,0.8408490181239294,,,,52
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,right,lower,-0.3044208472764635,0.04055274629087037,-0.3044208472764635,0.04055274629087037,0.005200000014156103,18
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,bottom,lower,-0.0440478789868319,-0.5930903812132025,0.5930903812132025,-0.0440478789868319,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,left,lower,-0.02603241015117635,-0.00602857900214866,0.02603241015117635,-0.00602857900214866,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,variant,physical_boundary_sum,lower,-0.37450113641447175,-0.5585662139244808,,,,54
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,right,whole,6.644801863116212,0.15087221476652238,6.644801863116212,0.15087221476652238,0.009999999776482582,34
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,bottom,whole,-0.05107695034761869,-0.861948619028264,0.861948619028264,-0.05107695034761869,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,left,whole,-0.07369906600082093,0.0030113483555872147,0.07369906600082093,0.0030113483555872147,0.00989999994635582,34
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,top,whole,-0.08108077677226995,1.3567584601337201,1.3567584601337201,-0.08108077677226995,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,physical_boundary_sum,whole,6.438945069995502,0.6486934042275657,,,,106
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,left,upper,-0.047697607061196697,0.009038582865262624,0.047697607061196697,0.009038582865262624,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,right,upper,3.4919959794316835,-2.0038828344635715,3.4919959794316835,-2.0038828344635715,0.004799999762326479,16
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,top,upper,-0.08108077677226995,1.3567584601337201,1.3567584601337201,-0.08108077677226995,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,physical_boundary_sum,upper,3.3632175955982166,-0.6380857914645888,,,,52
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,right,lower,3.1528058836845276,2.154755049230094,3.1528058836845276,2.154755049230094,0.005200000014156103,18
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,bottom,lower,-0.05107695034761869,-0.861948619028264,0.861948619028264,-0.05107695034761869,0.009999999776482582,19
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,left,lower,-0.02600145893962425,-0.006027234509675409,0.02600145893962425,-0.006027234509675409,0.00494999997317791,17
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,total,physical_boundary_sum,lower,3.0757274743972847,1.2867791956921544,,,,54
D0040_seed13_default_unitbox,13,continuous_baseline,variant,right,whole,-15.09058311858123,0.8448538108837427,-15.09058311858123,0.8448538108837427,0.009999999776482582,34
D0040_seed13_default_unitbox,13,continuous_baseline,variant,bottom,whole,0.04669027259420066,-0.977033505560034,0.977033505560034,0.04669027259420066,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,variant,left,whole,-0.058533393546744174,-0.0019439807880118612,0.058533393546744174,-0.0019439807880118612,0.00989999994635582,34
D0040_seed13_default_unitbox,13,continuous_baseline,variant,top,whole,0.03487684903923336,0.7632701343401773,0.7632701343401773,0.03487684903923336,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,variant,physical_boundary_sum,whole,-15.06754939049454,0.6291464588758742,,,,106
D0040_seed13_default_unitbox,13,continuous_baseline,variant,left,upper,-0.04282309262540712,-0.0049077648745191075,0.04282309262540712,-0.0049077648745191075,0.00494999997317791,17
D0040_seed13_default_unitbox,13,continuous_baseline,variant,right,upper,-0.8192794719590335,0.005153547694401805,-0.8192794719590335,0.005153547694401805,0.005199999548494816,18
D0040_seed13_default_unitbox,13,continuous_baseline,variant,top,upper,0.03487684903923336,0.7632701343401773,0.7632701343401773,0.03487684903923336,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,variant,physical_boundary_sum,upper,-0.8272257155452073,0.7635159171600601,,,,54
