case,seed,state,step,Delta,variant,kinematic_mode,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.008,9.528910993594764e-10,14,0.0071517848409712315,0.023278016597032547,0.000610007846262306,0.0026592824142426252,4.815200554730836e-06,0.9998021077027782,99.98021077027782
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.009,1.533313032098249e-09,15,0.010318120010197163,0.02448664791882038,0.0012977535370737314,0.005584395490586758,4.985554369341116e-06,0.9996924488394856,99.96924488394856
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.006,0.0,14,0.0,0.0,0.0,0.0,5.456744020193582e-06,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.007,0.0,17,0.0,0.0,0.0,0.0,5.799577138532186e-06,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.008,0.0,14,0.0,0.0,0.0,0.0,4.815200554730836e-06,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.009,0.0,15,0.0,0.0,0.0,0.0,4.985554369341116e-06,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,0.006,5.814131327497307e-06,16,42.85260772705078,99.16529846191406,0.7904306650161743,5.891362190246582,5.814131327497307e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,0.007,5.888798114028759e-06,17,37.050540924072266,87.4195785522461,1.042373538017273,4.442918300628662,5.888798114028759e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,0.008,4.9387836043024436e-06,16,35.65340805053711,95.95701599121094,0.2820400297641754,1.6000648736953735,4.9387836043024436e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,0.009,4.482580607145792e-06,15,36.06163787841797,83.81047821044922,0.29362478852272034,1.8071027994155884,4.482580607145792e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.006,5.814277756144293e-06,16,42.8579216003418,98.9271469116211,0.7771552801132202,5.918391227722168,5.814131327497307e-06,-2.518495691573442e-05,-0.002518495691573442
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.007,5.897697519685607e-06,17,37.137271881103516,87.58960723876953,1.0650444030761719,4.979053974151611,5.888798114028759e-06,-0.0015112431237279535,-0.15112431237279533
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.008,4.9210202632821165e-06,16,35.485469818115234,95.25737762451172,0.27799084782600403,1.6675660610198975,4.9387836043024436e-06,0.0035967036508448044,0.3596703650844804
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,0.009,4.484394594328478e-06,15,36.07816696166992,84.31624603271484,0.3183461129665375,1.8293148279190063,4.482580607145792e-06,-0.0004046747491376695,-0.04046747491376695
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.006,1.7499531823617076e-09,16,0.011141357943415642,0.037876926362514496,0.0015299340011551976,0.009523460641503334,5.814131327497307e-06,0.9996990172591931,99.96990172591931
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.007,1.64168367788875e-09,17,0.008639463223516941,0.03731805831193924,0.0012845085002481937,0.00750930467620492,5.888798114028759e-06,0.9997212192291025,99.97212192291025
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.008,1.901104162982392e-09,16,0.012135352939367294,0.05792655795812607,0.0010202191770076752,0.005561179015785456,4.9387836043024436e-06,0.9996150663168708,99.96150663168709
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,0.009,1.3514298569106131e-09,15,0.010521006770431995,0.03137368708848953,0.0011978389229625463,0.0060791014693677425,4.482580607145792e-06,0.9996985152135901,99.969851521359
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.006,0.0,16,0.0,0.0,0.0,0.0,5.814131327497307e-06,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.007,0.0,17,0.0,0.0,0.0,0.0,5.888798114028759e-06,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.008,0.0,16,0.0,0.0,0.0,0.0,4.9387836043024436e-06,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,0.009,0.0,15,0.0,0.0,0.0,0.0,4.482580607145792e-06,1.0,100.0
