case_id,loss_kind,epoch,curriculum_w,loss,disp_mse,strain_mse,energy_log10,elastic_energy
free_disp_global_prefit_then_energy,disp_global,1000,1.0,5.656070056758722e-11,5.66188242123733e-11,0.0024401205591857433,-3.3932716846466064,0.00040432289824821055
free_disp_global_prefit_then_energy,energy,1,1.0,-3.3932716846466064,2.2427675503422506e-06,0.5342985391616821,-2.7606122493743896,0.0017353530274704099
free_disp_global_prefit_then_energy,energy,100,1.0,-9.742573738098145,1.2543991942948196e-06,0.06591181457042694,-9.747258186340332,1.7895407378176742e-10
free_disp_global_prefit_then_energy,energy,200,1.0,-9.887131690979004,1.2544510354928207e-06,0.06591562181711197,-9.888211250305176,1.293567197802048e-10
free_disp_global_prefit_then_energy,energy,300,1.0,-9.908478736877441,1.2544478522613645e-06,0.06591611355543137,-9.908822059631348,1.233610436024435e-10
free_disp_strain_global_prefit_then_energy,disp_strain_global,1,1.0,1.9134417925670277e-06,1.2542367358037154e-06,0.06591034680604935,-10.145215034484863,7.157897885523568e-11
free_disp_strain_global_prefit_then_energy,disp_strain_global,100,1.0,5.30020656697161e-07,2.652708417372196e-07,0.026009149849414825,-3.43609619140625,0.00036635639844462276
free_disp_strain_global_prefit_then_energy,disp_strain_global,200,1.0,9.237237641457341e-09,2.1575080610958253e-10,0.0008883427944965661,-3.401216745376587,0.00039699359331279993
free_disp_strain_global_prefit_then_energy,disp_strain_global,300,1.0,5.1600741457491495e-09,4.7279135467759303e-11,0.0005084184813313186,-3.401120901107788,0.0003970812540501356
free_disp_strain_global_prefit_then_energy,disp_strain_global,400,1.0,4.498559746934916e-09,3.121717814802416e-11,0.0004449879052117467,-3.401094913482666,0.00039710491546429694
free_disp_strain_global_prefit_then_energy,disp_strain_global,500,1.0,4.247470819507271e-09,3.822128724628726e-11,0.0004199460381641984,-3.4022128582000732,0.0003960839821957052
free_disp_strain_global_prefit_then_energy,disp_strain_global,600,1.0,4.091313954290854e-09,3.5721394592291844e-11,0.00040928879752755165,-3.402224063873291,0.00039607356302440166
free_disp_strain_global_prefit_then_energy,disp_strain_global,700,1.0,3.996234010372746e-09,3.7497609184367064e-11,0.0004045726382173598,-3.402318239212036,0.00039598782313987613
free_disp_strain_global_prefit_then_energy,disp_strain_global,800,1.0,3.946843740720851e-09,3.2947724409870816e-11,0.00039447969174943864,-3.402228355407715,0.0003960698377341032
free_disp_strain_global_prefit_then_energy,disp_strain_global,900,1.0,3.873933174247668e-09,3.0984347032525505e-11,0.00038969519664533436,-3.402003526687622,0.00039627490332350135
free_disp_strain_global_prefit_then_energy,disp_strain_global,1000,1.0,3.831918782282173e-09,3.050381128244517e-11,0.00038743173354305327,-3.4021992683410645,0.00039609638042747974
free_disp_strain_global_prefit_then_energy,energy,1,1.0,-3.4021992683410645,2.1156859020265983e-06,0.11389853060245514,-3.7090444564819336,0.00019541406072676182
free_disp_strain_global_prefit_then_energy,energy,100,1.0,-10.139694213867188,1.254405560757732e-06,0.0659119263291359,-10.141863822937012,7.213343811152129e-11
free_disp_strain_global_prefit_then_energy,energy,200,1.0,-10.165180206298828,1.2543918046503677e-06,0.06591224670410156,-10.164693832397461,6.843949018620066e-11
free_disp_strain_global_prefit_then_energy,energy,300,1.0,-10.173943519592285,1.2543878256110474e-06,0.06591252237558365,-10.17363452911377,6.704484883934825e-11
free_global_curriculum,global_curriculum,1,0.0,1.9134417925670277e-06,1.2542367358037154e-06,0.06591034680604935,-10.145215034484863,7.157897885523568e-11
free_global_curriculum,global_curriculum,100,0.0990990990990991,-1.0109279155731201,1.2543238199214102e-06,0.06591155380010605,-10.201213836669922,6.291965559679369e-11
free_global_curriculum,global_curriculum,200,0.1991991991991992,-2.032139301300049,1.2543220009320066e-06,0.06591141223907471,-10.201525688171387,6.287444870300973e-11
free_global_curriculum,global_curriculum,300,0.2992992992992993,-3.0534281730651855,1.2543217735583312e-06,0.06591149419546127,-10.202025413513184,6.280213155074321e-11
free_global_curriculum,global_curriculum,400,0.3993993993993994,-4.074688911437988,1.254320636689954e-06,0.06591140478849411,-10.20213794708252,6.278583902785684e-11
free_global_curriculum,global_curriculum,500,0.4994994994994995,-5.095912933349609,1.2543208640636294e-06,0.0659114271402359,-10.202274322509766,6.276619501921488e-11
free_global_curriculum,global_curriculum,600,0.5995995995995996,-6.117142200469971,1.2543212051241426e-06,0.06591149419546127,-10.202259063720703,6.27683738319007e-11
free_global_curriculum,global_curriculum,700,0.6996996996996997,-7.138367652893066,1.2543216598714935e-06,0.06591147929430008,-10.202342987060547,6.275631403429571e-11
free_global_curriculum,global_curriculum,800,0.7997997997997998,-8.159582138061523,1.2543215461846557e-06,0.06591147184371948,-10.202360153198242,6.275378827691469e-11
free_global_curriculum,global_curriculum,900,0.8998998998998999,-9.180817604064941,1.2543212051241426e-06,0.06591147929430008,-10.202364921569824,6.275310826531211e-11
free_global_curriculum,global_curriculum,1000,1.0,-10.20203971862793,1.254320181942603e-06,0.06591146439313889,-10.202383041381836,6.275038128000787e-11
