run_group,comparison,step,Delta,loss_total_diff,elastic_energy_diff,fracture_energy_diff,alpha_max_diff,alpha_mean_diff,alpha_step_change_max_diff,HI_max_diff,HII_max_diff,He_max_diff,He_mean_diff,mechanics_drive_max_diff,mechanics_drive_mean_diff,notch_tip_delta_T_mean_diff,notch_tip_delta_T_max_diff,notch_tip_He_current_max_diff,notch_tip_mechanics_drive_max_diff,bottom_right_delta_T_mean_diff,bottom_right_delta_T_max_diff,bottom_right_He_current_max_diff,bottom_right_mechanics_drive_max_diff
8step,solved_minus_prescribed_linear_y,1,5.875e-06,3.35009797680641e-14,3.35009797680641e-14,0.0,0.0,0.0,0.0,1.1586962500587106e-09,4.702087608166039e-10,1.2478267308324575e-09,1.9826984498649836e-10,1.2478267308324575e-09,1.9826984498649836e-10,2.86102294921875e-06,2.288818359375e-05,-1.2896634871140122e-09,-1.2896634871140122e-09,1.665949821472168e-05,0.0,3.987224772572517e-09,3.987224772572517e-09
8step,solved_minus_prescribed_linear_y,2,1.075e-05,3.6637359812630166e-15,3.6637359812630166e-15,0.0,0.0,0.0,0.0,2.582964953035116e-09,1.6298145055770874e-09,4.220055416226387e-09,-7.821654435247183e-10,4.220055416226387e-09,-7.821654435247183e-10,2.86102294921875e-06,2.288818359375e-05,-3.805325832217932e-09,-3.805325832217932e-09,1.665949821472168e-05,0.0,1.3555109035223722e-08,1.3555109035223722e-08
8step,solved_minus_prescribed_linear_y,3,1.5625e-05,-1.5765166949677223e-14,-1.5765166949677223e-14,0.0,0.0,0.0,0.0,5.471520125865936e-09,3.448803909122944e-09,8.96397978067398e-09,-2.0227162167429924e-09,8.96397978067398e-09,-2.0227162167429924e-09,2.86102294921875e-06,2.288818359375e-05,-1.8480932340025902e-09,-1.8480932340025902e-09,1.665949821472168e-05,0.0,2.8783688321709633e-08,2.8783688321709633e-08
8step,solved_minus_prescribed_linear_y,4,2.05e-05,-4.529709940470639e-14,-4.529709940470639e-14,0.0,0.0,0.0,0.0,9.487848728895187e-09,5.995389074087143e-09,1.5541445463895798e-08,-3.812601789832115e-09,1.5541445463895798e-08,-3.812601789832115e-09,2.86102294921875e-06,2.288818359375e-05,-1.2369127944111824e-08,-1.2369127944111824e-08,1.665949821472168e-05,0.0,4.968023858964443e-08,4.968023858964443e-08
8step,solved_minus_prescribed_linear_y,5,2.5375e-05,-8.704148513061227e-14,-8.704148513061227e-14,0.0,0.0,0.0,0.0,1.461012288928032e-08,9.255018085241318e-09,2.3981556296348572e-08,-6.257323548197746e-09,2.3981556296348572e-08,-6.257323548197746e-09,2.86102294921875e-06,2.288818359375e-05,-2.2177118808031082e-08,-2.2177118808031082e-08,1.665949821472168e-05,0.0,7.636845111846924e-08,7.636845111846924e-08
8step,solved_minus_prescribed_linear_y,6,3.025e-05,-1.2612133559741778e-13,-1.2612133559741778e-13,0.0,0.0,0.0,0.0,2.066371962428093e-08,1.3096723705530167e-08,3.387685865163803e-08,-1.1059455573558807e-08,3.387685865163803e-08,-1.1059455573558807e-08,2.86102294921875e-06,2.288818359375e-05,-3.923196345567703e-08,-3.923196345567703e-08,1.665949821472168e-05,0.0,1.0855728760361671e-07,1.0855728760361671e-07
8step,solved_minus_prescribed_linear_y,7,3.5125e-05,-2.4158453015843406e-13,-2.2737367544323206e-13,-1.4210854715202004e-14,0.0,0.0,0.0,2.7997884899377823e-08,1.7578713595867157e-08,4.563480615615845e-08,-1.7113052308559418e-08,4.563480615615845e-08,-1.7113052308559418e-08,2.86102294921875e-06,2.288818359375e-05,-5.168840289115906e-08,-5.168840289115906e-08,1.665949821472168e-05,0.0,1.46450474858284e-07,1.46450474858284e-07
8step,solved_minus_no_thermal,0,1e-06,1.533038713336099e-10,1.533038713336099e-10,0.0,0.0,0.0,0.0,8.227869955135247e-06,5.259583701899828e-06,1.3523854590857809e-05,2.4799646212159132e-06,1.3523854590857809e-05,2.4799646212159132e-06,9.999632835388184,10.5921630859375,2.0900149593217066e-06,2.0900149593217066e-06,0.4020843505859375,0.5771484375,-1.1686802281474229e-07,-1.1686802281474229e-07
8step,solved_minus_no_thermal,1,5.875e-06,-2.5247937074368565e-10,-2.5247937074368565e-10,0.0,0.0,0.0,0.0,-7.240323611767963e-07,-1.9200706447008997e-07,-8.106690074782819e-07,-1.3105108337185811e-05,-8.106690074782819e-07,-1.3105108337185811e-05,9.999632835388184,10.5921630859375,-1.6395017155446112e-05,-1.6395017155446112e-05,0.4020843505859375,0.5771484375,-4.74894477520138e-07,-4.74894477520138e-07
8step,solved_minus_no_thermal,2,1.075e-05,-6.546965192200105e-10,-6.546965192200105e-10,0.0,0.0,0.0,0.0,-9.970462997443974e-07,-3.549212124198675e-07,-9.739887900650501e-07,-2.7914185920963064e-05,-9.739887900650501e-07,-2.7914185920963064e-05,9.999632835388184,10.5921630859375,-3.255406772950664e-05,-3.255406772950664e-05,0.4020843505859375,0.5771484375,-8.345741662196815e-07,-8.345741662196815e-07
