run_group,case_id,step,Delta,loss_total,elastic_energy,fracture_energy,alpha_max,alpha_mean,alpha_step_change_max,HI_max,HII_max,He_max,He_mean,mechanics_drive_max,mechanics_drive_mean,notch_tip_delta_T_mean,notch_tip_delta_T_max,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_delta_T_mean,bottom_right_delta_T_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max
8step,prescribed_linear_y,1,5.875e-06,2.0289488458780092e-07,3.9804928797515515e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.399318509560544e-05,1.514020641479874e-05,3.922906034858897e-05,1.2267154488654342e-05,3.922906034858897e-05,1.2267154488654342e-05,9.999629974365234,10.592140197753906,1.6598294678260572e-05,1.6598294678260572e-05,0.4020676910877228,0.5771484375,3.420513530727476e-05,3.420513530727476e-05
8step,prescribed_linear_y,2,1.075e-05,2.0397187683318663e-07,1.5550912779715986e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.16948086139746e-05,5.1591036026366055e-05,0.00013361815945245326,5.8317105867899954e-05,0.00013361815945245326,5.8317105867899954e-05,9.999629974365234,10.592140197753906,7.940641808090732e-05,7.940641808090732e-05,0.4020676910877228,0.5771484375,0.0001165998401120305,0.0001165998401120305
8step,prescribed_linear_y,3,1.5625e-05,2.0602141614922687e-07,3.6846377060584246e-09,2.0233677844316844e-07,0.550947904586792,0.5009883642196655,0.00023162364959716797,0.000173646752955392,0.000109665903437417,0.000284019042737782,0.00014083781570661813,0.000284019042737782,0.00014083781570661813,9.999629974365234,10.592140197753906,0.00018900215218309313,0.00018900215218309313,0.4020676910877228,0.5771484375,0.00024782688706181943,0.00024782688706181943
8step,prescribed_linear_y,4,2.05e-05,2.0899547914510208e-07,6.738636759706651e-09,2.0225684238539543e-07,0.5507895350456238,0.5009106397628784,0.00023162364959716797,0.0002997677947860211,0.00018932129023596644,0.0004903085646219552,0.00025940430350601673,0.0004903085646219552,0.00025940430350601673,9.999629974365234,10.592140197753906,0.0003453641547821462,0.0003453641547821462,0.4020676910877228,0.5771484375,0.0004277231346350163,0.0004277231346350163
8step,prescribed_linear_y,5,2.5375e-05,2.1289424800841061e-07,1.0717341680788195e-08,2.0217690632762242e-07,0.5506312251091003,0.5008329153060913,0.00023171305656433105,0.0004599893873091787,0.0002905138535425067,0.000752374529838562,0.00041403473005630076,0.000752374529838562,0.00041403473005630076,9.999629974365234,10.592140197753906,0.000549491320271045,0.000549491320271045,0.4020676910877228,0.5771484375,0.0006561260670423508,0.0006561260670423508
8step,prescribed_linear_y,6,3.025e-05,2.177187834462302e-07,1.5621756332961922e-08,2.0209702711326827e-07,0.5504729151725769,0.5007551908493042,0.00023168325424194336,0.0006542445626109838,0.0004132012836635113,0.0010701074497774243,0.0006047402275726199,0.0010701074497774243,0.0006047402275726199,9.999629974365234,10.592140197753906,0.0008014977211132646,0.0008014977211132646,0.4020676910877228,0.5771484375,0.000932870083488524,0.000932870083488524
8step,prescribed_linear_y,7,3.5125e-05,2.234715736904036e-07,2.1454368948070623e-08,2.0201720474233298e-07,0.5503146648406982,0.5006775856018066,0.00023168325424194336,0.0008824641117826104,0.0005573400412686169,0.0014433942269533873,0.0008316145977005363,0.0014433942269533873,0.0008316145977005363,9.999629974365234,10.592140197753906,0.0011005392298102379,0.0011005392298102379,0.4020676910877228,0.5771484375,0.001257814234122634,0.001257814234122634
8step,no_thermal,0,1e-06,2.025934150700487e-07,1.6458971338617623e-11,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,7.167175795075309e-07,3.8963031556704664e-07,1.1063353895224282e-06,6.310370395112841e-07,1.1063353895224282e-06,6.310370395112841e-07,0.0,0.0,8.366532711079344e-07,8.366532711079344e-07,0.0,0.0,9.54326878854772e-07,9.54326878854772e-07
8step,no_thermal,1,5.875e-06,2.0314739745952437e-07,6.505621596986089e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.4718376153032295e-05,1.5332683688029647e-05,4.004097718279809e-05,2.537246109568514e-05,4.004097718279809e-05,2.537246109568514e-05,0.0,0.0,3.299202217021957e-05,3.299202217021957e-05,0.0,0.0,3.468401700956747e-05,3.468401700956747e-05
8step,no_thermal,2,1.075e-05,2.0462657701614262e-07,2.2097914609275904e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.269443787867203e-05,5.19475870532915e-05,0.00013459636829793453,8.62305096234195e-05,0.00013459636829793453,8.62305096234195e-05,0.0,0.0,0.00011195668048458174,0.00011195668048458174,0.0,0.0,0.00011744796938728541,0.00011744796938728541
8step,no_thermal,3,1.5625e-05,2.0703195247051553e-07,4.695131394782948e-09,2.023368210757326e-07,0.550947904586792,0.5009884238243103,0.00023162364959716797,0.00017456398927606642,0.00011019087105523795,0.0002853786572813988,0.0001832109410315752,0.0002853786572813988,0.0001832109410315752,0.0,0.0,0.00023769242397975177,0.00023769242397975177,0.0,0.0,0.0002490925253368914,0.0002490925253368914
8step,no_thermal,4,2.05e-05,2.1036442277022616e-07,8.107452487138289e-09,2.0225697028308787e-07,0.5507895350456238,0.5009108185768127,0.00023162364959716797,0.000300873740343377,0.00019001978216692805,0.000492117484100163,0.000316321529680863,0.000492117484100163,0.000316321529680863,0.0,0.0,0.0004102045204490423,0.0004102045204490423,0.0,0.0,0.0004294283571653068,0.0004294283571653068
8step,no_thermal,5,2.5375e-05,2.1462478372313853e-07,1.2447323172182223e-08,2.021774605509563e-07,0.5506316423416138,0.5008335709571838,0.00023117661476135254,0.0004613767669070512,0.00029139011166989803,0.0007546438137069345,0.00048556140973232687,0.0007546438137069345,0.00048556140973232687,0.0,0.0,0.0006306288414634764,0.0006306288414634764,0.0,0.0,0.0006582883652299643,0.0006582883652299643
8step,no_thermal,6,3.025e-05,2.1981370323942429e-07,1.7715681366325953e-08,2.0209802187309833e-07,0.5504738688468933,0.5007563233375549,0.00023114681243896484,0.0006559209432452917,0.0004142601101193577,0.0010728493798524141,0.0006909389630891383,0.0010728493798524141,0.0006909389630891383,0.0,0.0,0.0008989073103293777,0.0008989073103293777,0.0,0.0,0.0009355312213301659,0.0009355312213301659
8step,no_thermal,7,3.5125e-05,2.259319202835286e-07,2.3913166558031662e-08,2.0201875372549694e-07,0.5503160357475281,0.5006793141365051,0.00023099780082702637,0.0008844390395097435,0.0005585873732343316,0.001446624519303441,0.0009324485436081886,0.001446624519303441,0.0009324485436081886,0.0,0.0,0.0012142041232436895,0.0012142041232436895,0.0,0.0,0.0012609802652150393,0.0012609802652150393
