case_id,method,top_u_mode,loss_form,epochs,hidden_layers,neurons,seed,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.003401143942028284,1122,2125,9.999983012676239e-05,-0.0012084388872608542,0.00011720298789441586,-1.1125232049380429e-05,0.0011973136570304632,0.0014368334086611867,0.0013196304207667708
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.003601211355999112,1180,2070,9.999983012676239e-05,-0.0011283440981060266,0.00013750826474279165,5.441398116090568e-06,0.0011337854666635394,0.0014477428048849106,0.001310234540142119
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.0038012785371392965,1233,2010,9.999983012676239e-05,-0.001044395030476153,0.0001379090826958418,2.6422580049256794e-05,0.0010708175832405686,0.0014422836247831583,0.0013043745420873165
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.004001345951110125,1287,1954,9.999983012676239e-05,-0.0009531383402645588,0.00013677950482815504,4.76259519928135e-05,0.0010007643140852451,0.0014312735293060541,0.001294494024477899
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.004201413132250309,1339,1895,9.999983012676239e-05,-0.0008577850530855358,0.00012572261039167643,7.016523886704817e-05,0.0009279503137804568,0.0014134475495666265,0.0012877249391749501
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.00440147565677762,1388,1841,9.999983012676239e-05,-0.0007476460305042565,0.00011286360677331686,9.86317390925251e-05,0.0008462777477689087,0.0013849112438037992,0.0012720476370304823
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.0045905509032309055,1436,1789,9.999983012676239e-05,-0.000632813258562237,8.493487257510424e-05,0.00012912334932480007,0.0007619365933351219,0.0013499190099537373,0.001264984137378633
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.004754123743623495,1487,1736,9.999983012676239e-05,-0.0005042458651587367,5.5593205615878105e-05,0.00016947313270065933,0.0006737189833074808,0.0013193777995184064,0.0012637845939025283
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.004889295436441898,1537,1684,9.999983012676239e-05,-0.0003658449277281761,2.2849300876259804e-05,0.00021832009952049702,0.0005841650418005884,0.001292983302846551,0.0012701340019702911
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,nan,nan,2,0.004999999888241291,1585,1636,9.999983012676239e-05,-0.00019398462609387934,7.400987669825554e-06,0.0002853015612345189,0.00047928618732839823,0.0012781101977452636,0.001270709210075438
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0,158,2697,9.999983012676239e-05,-2.015373978814239e-12,1.0000690053857397e-08,-6.147758691010807e-11,-5.946221293129383e-11,5.050354161539872e-07,4.950347261001298e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.00020006729755550623,190,2670,9.999983012676239e-05,-1.9316839794392138e-12,1.0000690053857397e-08,-6.135887631320003e-11,-5.942719233376081e-11,5.050379741078359e-07,4.950372840539785e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.00040013459511101246,221,2641,9.999983012676239e-05,-2.0037999037825216e-12,1.0000803740695119e-08,-6.3863206389847e-11,-6.185940648606447e-11,5.050391109762131e-07,4.95038307235518e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0006002018926665187,257,2613,9.999983012676239e-05,-1.6519702272788095e-12,1.0000690053857397e-08,-6.75754105450288e-11,-6.592344031774999e-11,5.050395088801451e-07,4.950388188262878e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0008002691902220249,303,2611,9.999983012676239e-05,-1.717820330426889e-12,1.0000690053857397e-08,-7.791862294270757e-11,-7.620080261228068e-11,5.050407025919412e-07,4.950400125380838e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0010003364877775311,350,2581,9.999983012676239e-05,-1.7814916208891418e-12,1.0000746897276258e-08,-8.916956756310768e-11,-8.738807594221853e-11,5.050413847129676e-07,4.950406378156913e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0012004037853330374,404,2552,9.999983012676239e-05,-2.0594567717857615e-12,1.0000633210438536e-08,-9.951122564855197e-11,-9.745176887676621e-11,5.050425784247636e-07,4.950419452143251e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0014004710828885436,462,2522,9.999983012676239e-05,-2.160466250344939e-12,1.0000803740695119e-08,-1.0944656986255907e-10,-1.0728610361221413e-10,5.050441131970729e-07,4.950433094563778e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0016005383804440498,523,2492,9.999983012676239e-05,-2.1548873796461976e-12,1.0000519523600815e-08,-1.1874444483250812e-10,-1.1658955745286192e-10,5.050455911259633e-07,4.950450716023624e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.001800605677999556,587,2461,9.999983012676239e-05,-3.5018793420604766e-12,1.0000576367019676e-08,-1.2809533989077693e-10,-1.2459346054871645e-10,5.050478648627177e-07,4.95047288495698e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0020006729755550623,655,2428,9.999983012676239e-05,-3.1072644457452725e-12,1.0000576367019676e-08,-1.3185588731978726e-10,-1.2874862287404198e-10,5.050501385994721e-07,4.950495622324524e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0022007401566952467,723,2393,9.999983012676239e-05,-4.319183899426093e-12,1.0000974270951701e-08,-1.3553799749210782e-10,-1.3121881359268173e-10,5.050514459981059e-07,4.950504717271542e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0024008075706660748,789,2354,9.999983012676239e-05,-5.015238224714835e-12,1.0000690053857397e-08,-1.3454974634452554e-10,-1.295345081198107e-10,5.050528670835774e-07,4.9505217702972e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.002600874751806259,863,2310,9.999983012676239e-05,-5.385497603427325e-12,1.0000690053857397e-08,-1.3059356374078845e-10,-1.2520806613736113e-10,5.050543450124678e-07,4.950536549586104e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.002800942165777087,930,2269,9.999983012676239e-05,-4.553468713197617e-12,1.0000462680181954e-08,-1.270725330515532e-10,-1.2251906433835558e-10,5.050563913755468e-07,4.950559286953649e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0030010093469172716,998,2223,9.999983012676239e-05,-4.973535472352353e-12,1.0000519523600815e-08,-1.2462422760428638e-10,-1.1965069213193402e-10,5.050583808952069e-07,4.950578613716061e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0032010767608880997,1062,2176,9.999983012676239e-05,-7.0428524123755665e-12,1.0000633210438536e-08,-1.1834698498969232e-10,-1.1130413257731675e-10,5.050603704148671e-07,4.950597372044285e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.003401143942028284,1122,2125,9.999983012676239e-05,-6.177218458969236e-12,1.0001201644627145e-08,-1.0893747709461721e-10,-1.0276025863564797e-10,5.050615072832443e-07,4.950603056386171e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.003601211355999112,1180,2070,9.999983012676239e-05,-5.742781250539508e-12,1.0001201644627145e-08,-1.0119363680338722e-10,-9.545085555284771e-11,5.050615641266631e-07,4.95060362482036e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0038012785371392965,1233,2010,9.999983012676239e-05,-5.9034166444149605e-12,1.0001485861721449e-08,-9.350380886230525e-11,-8.760039221789029e-11,5.050613935964066e-07,4.950599077346851e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.004001345951110125,1287,1954,9.999983012676239e-05,-5.3225618357188864e-12,1.000154270514031e-08,-8.606843016067955e-11,-8.074586832496067e-11,5.050607683187991e-07,4.950592256136588e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.004201413132250309,1339,1895,9.999983012676239e-05,-5.1470910866768804e-12,1.000154270514031e-08,-8.016478453276576e-11,-7.501769344608888e-11,5.05059972510935e-07,4.950584298057947e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.00440147565677762,1388,1841,9.999983012676239e-05,-7.306211191604461e-12,1.0002224826166639e-08,-7.207857227742309e-11,-6.477236108581863e-11,5.050586082688824e-07,4.950563834427157e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.0045905509032309055,1436,1789,9.999983012676239e-05,-7.600982343536344e-12,1.0002395356423222e-08,-6.132890029153515e-11,-5.3727917947998804e-11,5.050562776887091e-07,4.950538823322859e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.004754123743623495,1487,1736,9.999983012676239e-05,-6.155940340812904e-12,1.0002850103774108e-08,-5.1451148896930476e-11,-4.529520855611757e-11,5.050538334216981e-07,4.95050983317924e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.004889295436441898,1537,1684,9.999983012676239e-05,-4.904441436304197e-12,1.0002736416936386e-08,-4.510567960802625e-11,-4.0201238171722053e-11,5.050512754678493e-07,4.95048539050913e-07
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,8,400,2,0.004999999888241291,1585,1636,9.999983012676239e-05,-4.020089816592076e-12,1.0002622730098665e-08,-4.114661736331904e-11,-3.712652754672696e-11,5.050492859481892e-07,4.950466632180905e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0,158,2697,9.999983012676239e-05,2.2036630298316595e-09,9.965106073650531e-09,1.7149983477793285e-07,1.692961717481012e-07,5.250842036730319e-07,5.151190975993813e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.00020006729755550623,190,2670,9.999983012676239e-05,2.0122570276726037e-09,9.973348369385349e-09,1.5633237637757702e-07,1.5432011934990442e-07,5.216006115915661e-07,5.116272632221808e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.00040013459511101246,221,2641,9.999983012676239e-05,1.8061427908833139e-09,9.993755156756379e-09,1.4120168145836942e-07,1.393955386674861e-07,5.179260824661469e-07,5.079323273093905e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0006002018926665187,257,2613,9.999983012676239e-05,1.618246869838913e-09,1.000023530650651e-08,1.2652604652885202e-07,1.249077996590131e-07,5.143635348758835e-07,5.04363299569377e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0008002691902220249,303,2611,9.999983012676239e-05,1.4340457710204646e-09,1.0001429018302588e-08,1.1248553022369379e-07,1.1105148445267332e-07,5.111342034069821e-07,5.011327743886795e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0010003364877775311,350,2581,9.999983012676239e-05,1.1744276662284392e-09,1.0039457265520468e-08,1.0054375110257752e-07,9.936932343634908e-08,5.088757006888045e-07,4.98836243423284e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0012004037853330374,404,2552,9.999983012676239e-05,9.98184646050504e-10,1.0040764664154267e-08,9.280351065399373e-08,9.180532600794322e-08,5.069921371614328e-07,4.969513724972785e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0014004710828885436,462,2522,9.999983012676239e-05,9.005276524476358e-10,1.0057931376650231e-08,8.531986139814762e-08,8.441933374569999e-08,5.055734959569236e-07,4.955155645802733e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0016005383804440498,523,2492,9.999983012676239e-05,8.163567599694943e-10,1.005645344775985e-08,7.804372614828026e-08,7.722736938831076e-08,5.046755973125983e-07,4.946191438648384e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.001800605677999556,587,2461,9.999983012676239e-05,7.205613883343176e-10,1.005651029117871e-08,7.081844444201124e-08,7.009788305367692e-08,5.037716732658737e-07,4.93715162974695e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0020006729755550623,655,2428,9.999983012676239e-05,5.924789547862019e-10,1.0101587122335332e-08,6.344636460653419e-08,6.285388565174799e-08,5.03142246088828e-07,4.930406589664926e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0022007401566952467,723,2393,9.999983012676239e-05,4.972662281943485e-10,1.010153027891647e-08,5.62595054987014e-08,5.576223927050705e-08,5.02497414345271e-07,4.923958840663545e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0024008075706660748,789,2354,9.999983012676239e-05,4.022666644232231e-10,1.0101587122335332e-08,4.907272099785587e-08,4.8670454333432644e-08,5.018526394451328e-07,4.917510523227975e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.002600874751806259,863,2310,9.999983012676239e-05,5.019487048230076e-10,1.0104656666953815e-08,4.4796497178367645e-08,4.429454847354464e-08,5.012653332414629e-07,4.911606765745091e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.002800942165777087,930,2269,9.999983012676239e-05,4.5364245693235716e-10,1.0104656666953815e-08,4.114648888275951e-08,4.0692846425827156e-08,5.006904189031047e-07,4.905857622361509e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0030010093469172716,998,2223,9.999983012676239e-05,4.064020231453469e-10,1.0104599823534954e-08,3.752898436459873e-08,3.712258234145338e-08,5.00111639212264e-07,4.90007039388729e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0032010767608880997,1062,2176,9.999983012676239e-05,3.608846554925549e-10,1.0104486136697233e-08,3.406612236744877e-08,3.3705237711956215e-08,4.995143285668746e-07,4.894098424301774e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.003401143942028284,1122,2125,9.999983012676239e-05,3.1374725040222984e-10,1.011130734696053e-08,3.061488129674217e-08,3.030113404633994e-08,4.989098556507088e-07,4.887985483037482e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.003601211355999112,1180,2070,9.999983012676239e-05,2.779021457399722e-10,1.0113012649526354e-08,2.734952353478093e-08,2.7071621389040956e-08,4.983281769455061e-07,4.882151642959798e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0038012785371392965,1233,2010,9.999983012676239e-05,3.292477401828364e-10,1.0095277502841782e-08,2.3876527421862193e-08,2.3547279681679356e-08,4.979143568561994e-07,4.878190793533577e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.004001345951110125,1287,1954,9.999983012676239e-05,2.8036239996254153e-10,1.0095504876517225e-08,2.0198751116140556e-08,1.9918388716178015e-08,4.975980800736579e-07,4.875025751971407e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.004201413132250309,1339,1895,9.999983012676239e-05,2.3152857409058925e-10,1.0095448033098364e-08,1.651384096135189e-08,1.62823123872613e-08,4.972858391738555e-07,4.871903911407571e-07
