case_id,case_group,start_prefit,continuation_mode,energy_mode,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps,displacement_rel_rmse,strain_corr,He_current_corr,bulk_to_notch_He_current,bottom_to_notch_He_current,success_all_thresholds,classification
trust_region_lamU_1e-03_chunk_01,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9988267421722412,0.2864023447036743,0.16977368295192719,0.4422545230249219,0.28979267292613603,False,collapsed/non-target
trust_region_lamU_1e-03_chunk_02,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.999682605266571,0.05316374450922012,0.05402333661913872,0.4650450912752371,0.7293468645328678,False,collapsed/non-target
trust_region_lamU_1e-03_chunk_03,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996614456176758,0.04518004134297371,-0.020106712356209755,1.0182742483218559,1.2005309050413873,False,boundary-dominated
trust_region_lamU_1e-03_chunk_04,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996620416641235,0.038836028426885605,-0.04211242496967316,1.0391839086370962,1.4041642224137916,False,boundary-dominated
trust_region_lamU_1e-03_chunk_05,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996626973152161,0.05217287689447403,-0.10568798333406448,1.026367639383688,1.2786048001023071,False,boundary-dominated
trust_region_lamU_1e-03_chunk_06,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996606707572937,0.04661458358168602,0.0033792899921536446,0.9903056759887926,1.2617901419271083,False,boundary-dominated
trust_region_lamU_1e-03_chunk_07,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996615052223206,0.04359130933880806,-0.02963470295071602,1.00496646846519,1.3741806276066626,False,boundary-dominated
trust_region_lamU_1e-03_chunk_08,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996600151062012,0.04959133267402649,0.041802629828453064,1.0038440226303111,1.2428286271651006,False,boundary-dominated
trust_region_lamU_1e-03_chunk_09,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996607899665833,0.04966166242957115,0.15732838213443756,0.9946485382248423,1.3231682781614589,False,boundary-dominated
trust_region_lamU_1e-03_chunk_10,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.001,0.0,0.9996604919433594,0.04776274040341377,0.11558286100625992,0.9938852462713793,1.5238327502256706,False,boundary-dominated
trust_region_lamU_1e-02_chunk_01,trust_region_to_previous_step,disp_strain_global,trust_region_to_previous_step,normalized,0.0,0.0,0.01,0.0,0.9888780117034912,0.6310642957687378,0.671178936958313,2.573283549709405,2.5656935588494525,False,boundary-dominated
