case_id,step,threshold,count_above_threshold,fraction_above_threshold,notch_connected_count,largest_component_count,largest_component_fraction,x_min,x_max,y_min,y_max,x_span,y_span,centroid_x,centroid_y,comment
C,0,0.0001,81,0.014969506560709665,0,25,0.30864197530864196,0.00011280964827165008,0.009894595481455326,0.00011349347187206149,0.009857676923274994,0.009781785833183676,0.009744183451402932,0.006756078936935713,0.006338006571128556,Above-threshold set is present but not connected to the notch seed window.
C,0,0.001,7,0.00129366106080207,0,6,0.8571428571428571,0.0002882482367567718,0.00988017488270998,0.00011349347187206149,0.000789511133916676,0.009591926645953208,0.0006760176620446146,0.008297768180325096,0.0003190189693538871,Above-threshold set is present but not connected to the notch seed window.
C,0,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,0,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,0,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,0,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,0,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,0,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.0001,32,0.005913879135095177,0,7,0.21875,0.00011280964827165008,0.009912802837789059,0.00011349347187206149,0.00711527094244957,0.009799993189517409,0.007001777470577508,0.006546411676026764,0.002298344693144827,Above-threshold set is present but not connected to the notch seed window.
C,1,0.001,4,0.0007392348918868971,0,2,0.5,0.0002882482367567718,0.00988017488270998,0.00011349347187206149,0.0002885742287617177,0.009591926645953208,0.00017508075688965619,0.007270063550095074,0.00016229184075200465,Above-threshold set is present but not connected to the notch seed window.
C,1,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,1,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
C,2,0.0001,38,0.0070227314729255225,0,9,0.23684210526315788,0.00011280964827165008,0.009894595481455326,0.00011349347187206149,0.007116053253412247,0.009781785833183676,0.007002559781540185,0.005579367972371217,0.0021505889003731824,Above-threshold set is present but not connected to the notch seed window.
