case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,current_split,0.006,13,0.9285459518432617,0.010372878983616829,6.424455207562771,11.958601013730346,0.015846204092832113,0.08929200141191568,8.894783016921023e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,current_split,0.007,17,0.9167900085449219,0.011556096374988556,4.591841748678077,9.809622562461184,0.03823408227791436,0.25635045186970307,7.33489415176002e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,current_split,0.008,12,0.9343083500862122,0.007756920997053385,4.6574738482741775,8.462246049026069,0.02120924063730019,0.08760280054876765,4.608031178300999e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,current_split,0.009,12,0.9105556607246399,0.010679560713469982,2.8277097016137698,4.659156205676183,0.014182825874261859,0.03386311079826332,3.537699768063846e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.006,13,0.9285459518432617,0.010372878983616829,0.009365251414738884,0.02725866172786162,0.0006566634260285081,0.003994258037798432,1.137800965249417e-09,0.9987208221233898,99.87208221233898
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.007,17,0.9167900085449219,0.011556096374988556,0.01960264936251223,0.11916641220633295,0.0016485783555374792,0.007238776535182234,3.2385882964875024e-09,0.9955846829831752,99.55846829831752
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.008,12,0.9343083500862122,0.007756920997053385,0.015236994006686861,0.03376548690534831,0.0010406870874034425,0.0026026503691932296,1.5713279481068e-09,0.9965900231849426,99.65900231849426
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_everywhere,0.009,12,0.9105556607246399,0.010679560713469982,0.028509651113263913,0.0873888259919342,0.0014529613998511331,0.004634246092713623,3.533225427443131e-09,0.9900126475984794,99.00126475984794
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.006,13,0.9285459518432617,0.010372878983616829,0.009365251414738884,0.02725866172786162,0.0006566634260285081,0.003994258037798432,1.137800965249417e-09,0.9987208221233898,99.87208221233898
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.007,17,0.9167900085449219,0.011556096374988556,0.01960264936251223,0.11916641220633295,0.0016485783555374792,0.007238776535182234,3.2385882964875024e-09,0.9955846829831752,99.55846829831752
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.008,12,0.9343083500862122,0.007756920997053385,0.015236994006686861,0.03376548690534831,0.0010406870874034425,0.0026026503691932296,1.5713279481068e-09,0.9965900231849426,99.65900231849426
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,0.009,12,0.9105556607246399,0.010679560713469982,0.028509651113263913,0.0873888259919342,0.0014529613998511331,0.004634246092713623,3.533225427443131e-09,0.9900126475984794,99.00126475984794
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.006,13,0.9285459518432617,0.010372878983616829,0.015812955934859787,0.04784480566589355,0.0005684788782636484,0.003325934425566973,1.919731113614177e-09,0.9978417336207503,99.78417336207504
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.007,17,0.9167900085449219,0.011556096374988556,0.03286333805804141,0.19265380715932423,0.001465949522244542,0.006362057127827503,5.386216311721705e-09,0.9926567225098547,99.26567225098547
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.008,12,0.9343083500862122,0.007756920997053385,0.02528259057717915,0.05714218235623569,0.0009720833995841651,0.002458907158404411,2.6111562478610606e-09,0.9943334666220209,99.4333466622021
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.009,12,0.9105556607246399,0.010679560713469982,0.04717744692545539,0.14487974791637193,0.0013434033130335851,0.004223181265258558,5.839689674604313e-09,0.9834929754997261,98.34929754997262
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.006,13,0.9285459518432617,0.010372878983616829,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.007,17,0.9167900085449219,0.011556096374988556,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.008,12,0.9343083500862122,0.007756920997053385,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.009,12,0.9105556607246399,0.010679560713469982,0.0,0.0,0.0,0.0,0.0,1.0,100.0
