case,seed,state,variant,cut_x,v_jump_proxy,u_jump_proxy
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,0.008,2.3142616033986355e-05,-4.93691146324616e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,0.009,1.8797836074244826e-05,-1.5055948521906409e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,0.006,3.526545294843965e-05,2.1531132613085478e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,0.007,2.8375637433994415e-05,8.427954593638857e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,0.008,2.3142616033986355e-05,-4.93691146324616e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,0.009,1.8797836074244826e-05,-1.5055948521906409e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,0.006,3.526545294843965e-05,2.1531132613085478e-06
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,0.007,2.8375637433994415e-05,8.427954593638857e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,0.008,2.3142616033986355e-05,-4.93691146324616e-07
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,0.009,1.8797836074244826e-05,-1.5055948521906409e-06
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,0.006,0.00018701649997677992,2.7768025159783956e-06
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,0.007,0.00018092428453436932,2.072735444999074e-06
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,0.008,0.00017627116279636605,2.9463042781220334e-06
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,0.009,0.0001717630192173861,3.580438411826695e-06
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,0.006,0.00018701649997677992,2.7768025159783956e-06
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,0.007,0.00018092428453436932,2.072735444999074e-06
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,0.008,0.00017627116279636605,2.9463042781220334e-06
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,0.009,0.0001717630192173861,3.580438411826695e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,0.006,0.00018701649997677992,2.7768025159783956e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,0.007,0.00018092428453436932,2.072735444999074e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,0.008,0.00017627116279636605,2.9463042781220334e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,0.009,0.0001717630192173861,3.580438411826695e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,0.006,0.00018701649997677992,2.7768025159783956e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,0.007,0.00018092428453436932,2.072735444999074e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,0.008,0.00017627116279636605,2.9463042781220334e-06
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,0.009,0.0001717630192173861,3.580438411826695e-06
