step,Delta,Delta_s,loss_total,loss_log10,elastic_energy,fracture_energy,mechanics_current_energy,phase_history_elastic_energy,phase_history_energy,alpha_step_change_mean,alpha_step_change_max
32,8e-05,8e-05,1.5916184370468045e-08,-7.798161038700496,1.3066659754201735e-08,2.849524616266308e-09,1.2952190431292364e-08,1.2517368475073454e-08,1.536689353542897e-08,0.0022979797795414,0.1013935208320617
33,8.2e-05,8.2e-05,1.6505149247336703e-08,-7.78238054422057,1.343907563011726e-08,3.0660736172194447e-09,1.3290664568899048e-08,1.2892556355836861e-08,1.5958629973056304e-08,0.0017304314533248,0.0625461339950561
34,8.4e-05,8.4e-05,1.7066867696868826e-08,-7.767846178170005,1.3778704399669552e-08,3.2881632971992762e-09,1.3615267135946853e-08,1.3235252893650797e-08,1.6523415524716256e-08,0.0016417208826169,0.0756540298461914
35,8.6e-05,8.6e-05,1.765643342643841e-08,-7.753097018745352,1.4126852576623604e-08,3.5295808498148062e-09,1.3911728657944876e-08,1.3599930070995471e-08,1.712951025467646e-08,0.0018844805890694,0.0690417289733886
36,8.8e-05,8.8e-05,1.821597805928832e-08,-7.739547505489957,1.4455414643066432e-08,3.760563416221885e-09,1.4230373324153334e-08,1.3939850163069424e-08,1.7700415355648147e-08,0.0017863947432488,0.0693162381649017
37,9e-05,9e-05,1.8756747710568792e-08,-7.726842463067885,1.4749398147273496e-08,4.007349563295293e-09,1.4515622481781064e-08,1.424391626869692e-08,1.8251267164259843e-08,0.0018518369179219,0.0729461312294006
38,9.2e-05,9.2e-05,1.9302357934236625e-08,-7.714389635278341,1.50606194182501e-08,4.241738515986526e-09,1.4768277267762642e-08,1.4566950312655536e-08,1.880868794046364e-08,0.0017800792120397,0.0670987367630004
39,9.4e-05,9.4e-05,1.9854895061399705e-08,-7.702132403960233,1.532854021490948e-08,4.5263548464902215e-09,1.4949527837870846e-08,1.487004652744872e-08,1.939640270620657e-08,0.0021675680764019,0.0860758423805236
40,9.6e-05,9.6e-05,2.037043733693622e-08,-7.690999646945871,1.563642015867117e-08,4.7340171782650495e-09,1.5260175345588323e-08,1.5180669166170446e-08,1.9914685012167865e-08,0.0019237949745729,0.0630874633789062
41,9.8e-05,9.8e-05,2.0881311790788004e-08,-7.680242221876408,1.5929678909287762e-08,4.951632881500245e-09,1.5551311349781827e-08,1.5471073311346117e-08,2.0422703528311104e-08,0.0016320256981998,0.0583381056785583
42,0.0001,0.0001,2.1418898654701483e-08,-7.669202864058914,1.6237308386735094e-08,5.181590267966385e-09,1.5757404270289044e-08,1.580717245985852e-08,2.0988764504181745e-08,0.0021563756745308,0.0729492902755737
