seed,step,load_case,Delta_s,engineering_shear_strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,reaction_metric_status,is_energy_conjugate,nominal_shear_stress_energy_MPa,nominal_shear_stress_virtual_work_MPa,reaction_N_energy,reaction_N_virtual_work,alpha0p8_through_crack,Delta,strain,checkpoint,history_source,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
23,22,shear,5.5e-05,0.0055,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.12730851676315,,0.2912730851676315,,False,5.5e-05,0.0055,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0022.pt,checkpoint_step_0021_post_history,8.529994488526427e-09,8.065621059927253e-09,4.6437367839935457e-10,0,,,,0.0
23,23,shear,5.7e-05,0.0057,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.53899675048888,,0.2953899675048888,,False,5.7e-05,0.0057,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0023.pt,checkpoint_step_0022_post_history,9.121058575090046e-09,8.549080554587363e-09,5.719780205026835e-10,0,,,,0.0
23,24,shear,6e-05,0.006,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.964742134325206,,0.299647421343252,,False,6e-05,0.006,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0024.pt,checkpoint_step_0023_post_history,1.0016867335593815e-08,9.206600815048205e-09,8.102665760567618e-10,0,,,,0.0
23,25,shear,6.2e-05,0.0062,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.908199212513864,,0.2990819921251386,,False,6.2e-05,0.0062,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0025.pt,checkpoint_step_0024_post_history,1.0624180646345849e-08,9.639167686259498e-09,9.850132931532583e-10,1,0.0050444970838725,0.0050444970838725,0.0049571054987609,0.0
23,26,shear,6.5e-05,0.0065,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.69594206660986,,0.2969594206660986,,False,6.5e-05,0.0065,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0026.pt,checkpoint_step_0025_post_history,1.1512236497424055e-08,1.0222471757970196e-08,1.2897645174092531e-09,6,0.0050210845656692,0.0051118209958076,0.0049557522094498,9.073643013834952e-05
23,27,shear,6.7e-05,0.0067,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.5255973469466,,0.2952559734694659,,False,6.7e-05,0.0067,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0027.pt,checkpoint_step_0026_post_history,1.21162004873554e-08,1.0642962067208828e-08,1.473238198101967e-09,8,0.0050210845656692,0.0051518338732421,0.0049574358272366,0.0001307493075728
23,28,shear,7e-05,0.0069999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.439752688631412,,0.2943975268863141,,False,7e-05,0.0069999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0028.pt,checkpoint_step_0027_post_history,1.2995407416838134e-08,1.1214831729944308e-08,1.7805753538269187e-09,11,0.0050210845656692,0.0052038063295185,0.0049535524608059,0.0001827217638492
23,29,shear,7.2e-05,0.0072,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,29.208362684585158,,0.2920836268458515,,False,7.2e-05,0.0072,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0029.pt,checkpoint_step_0028_post_history,1.3593627556929276e-08,1.1621203555023385e-08,1.972424001905892e-09,13,0.0050210845656692,0.005216818768531,0.0049524396443023,0.0001957342028617
23,30,shear,7.5e-05,0.0074999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,28.86884904000908,,0.2886884904000908,,False,7.5e-05,0.0074999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0030.pt,checkpoint_step_0029_post_history,1.4471066123178389e-08,1.2172394647791409e-08,2.298671475386982e-09,15,0.0050210845656692,0.0052806884050369,0.0049448379936317,0.0002596038393676
23,31,shear,7.7e-05,0.0077,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,28.211792232468724,,0.2821179223246872,,False,7.7e-05,0.0077,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0031.pt,checkpoint_step_0030_post_history,1.506632685277509e-08,1.2537304527882044e-08,2.529021880803839e-09,17,0.0050210845656692,0.005349135491997,0.0049326428869629,0.0003280509263277
