case_id,loss_kind,epoch,checkpoint,loss,disp_rel,strain_rel,energy_log10,elastic_energy,energy_mode,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps
global_displacement_anchor_lamU_1e-03,continuation,60,continuation,0.000998078496195376,0.9963738322257996,0.9985775351524353,-9.16386604309082,6.857005518945414e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,90,continuation,0.0009980460163205862,0.9963656067848206,0.9985740184783936,-9.169210433959961,6.773143712557328e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,120,continuation,0.0009980438044294715,0.996367335319519,0.9985665678977966,-9.170104026794434,6.759214854490381e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,150,continuation,0.0009980415925383568,0.9963532090187073,0.9985514879226685,-9.167098999023438,6.806145647075823e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,180,continuation,0.0009980412432923913,0.9963368773460388,0.9985526204109192,-9.163026809692383,6.87026213697095e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,210,continuation,0.0009980406612157822,0.9963586330413818,0.9985567927360535,-9.168791770935059,6.779665717715488e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,240,continuation,0.0009980403119698167,0.9963314533233643,0.9985460638999939,-9.161866188049316,6.888649650704792e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,270,continuation,0.0009980398463085294,0.9963579177856445,0.9985532164573669,-9.168771743774414,6.779974914827847e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-03,continuation,300,continuation,0.000998039497062564,0.9963292479515076,0.9985408782958984,-9.161489486694336,6.894624871023325e-10,normalized,0.001,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,1,continuation,1.0000003576278687,4.31820821762085,582.1043090820312,-0.847509503364563,0.1420661211013794,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,30,continuation,0.009889593347907066,0.9789300560951233,0.9921908974647522,-7.423956871032715,3.767416956179659e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,60,continuation,0.009846066124737263,0.9704069495201111,0.985142171382904,-7.242509841918945,5.721238949263352e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,90,continuation,0.009845162741839886,0.9702324271202087,0.9849825501441956,-7.239899635314941,5.7557368648986085e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,120,continuation,0.00984469149261713,0.97020024061203,0.9849046468734741,-7.240215301513672,5.751549281285406e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,150,continuation,0.00984425563365221,0.9700976610183716,0.984799861907959,-7.238414287567139,5.775446965117226e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,180,continuation,0.00984374899417162,0.9700011014938354,0.9847220778465271,-7.23697566986084,5.7946170528566654e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,210,continuation,0.009843523614108562,0.9699561595916748,0.9846808314323425,-7.23632287979126,5.80333576749581e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,240,continuation,0.009843328036367893,0.9699044227600098,0.9846107363700867,-7.235433101654053,5.8152370030484235e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-02,continuation,270,continuation,0.009843031875789165,0.9698818922042847,0.9845942258834839,-7.235611438751221,5.812850645270373e-08,normalized,0.01,0.0,0.0,0.0
