case,seed,step,Delta,reaction_total_undegraded_N,reaction_degraded_effective_N,reaction_positive_undegraded_N,reaction_negative_non_degraded_N,reaction_degraded_positive_contribution_N,reaction_residual_stiffness_positive_contribution_N,reaction_shear_abs_top_boundary_N,positive_fraction_of_total,negative_fraction_of_effective,degraded_positive_fraction_of_effective,residual_fraction_of_effective
D0040_seed7_default_unitbox,7,10,4.7e-05,1.2373133193245651,0.7131088285804632,2.8219643534453467,-1.584651041932858,2.297759863638405,2.8219643534453463e-08,0.023679849264057817,2.280719288616261,-2.2221727994692118,3.222172789828444,3.957270251530663e-08
D0040_seed7_default_unitbox,7,11,4.9e-05,1.2424860641357434,0.7150322508260157,2.8203983765539884,-1.5779122956912093,2.292944557619533,2.8203983765539884e-08,0.027275664405246938,2.269963791115693,-2.206770804908984,3.2067708204359873,3.9444351961688765e-08
D0040_seed7_default_unitbox,7,12,5.1e-05,1.2394924577628228,0.7128582664111425,2.8177839833286886,-1.5782915249837894,2.291149786630081,2.8177839833286887e-08,0.019798322272512478,2.2733369337434666,-2.2140327177934505,3.2140327111093017,3.9527969529128335e-08
D0040_seed7_default_unitbox,7,13,5.3e-05,1.2384138038405936,0.7155696064505834,2.8171892932225258,-1.5787754983275195,2.294345091198029,2.8171892932225256e-08,0.028895732227393993,2.2748367988840257,-2.2063199500027233,3.2063199310247317,3.9369884743938996e-08
D0040_seed7_default_unitbox,7,14,5.5e-05,1.2330188220648926,0.7072629693601249,2.7988581512850175,-1.5658393440477598,2.273102306593638,2.7988581512850175e-08,0.036360702171772626,2.269923298168206,-2.213942213692322,3.21394220405765,3.957309052695352e-08
D0040_seed7_default_unitbox,7,15,5.7e-05,1.2290955935499492,0.7041533970877158,2.805086296894233,-1.5759907200713266,2.280144100457913,2.805086296894233e-08,0.0404831386875649,2.2822360698506867,-2.2381355065379407,3.2381354828199136,3.9836295734646655e-08
D0040_seed7_default_unitbox,7,16,5.9e-05,1.2141070102011198,0.6886949317820551,2.7941570298586047,-1.5800500029304492,2.268744943201447,2.7941570298586044e-08,0.04179757710242811,2.30140918912555,-2.294266924314281,3.2942669366404105,4.0571766988737555e-08
D0040_seed7_default_unitbox,7,17,6.1e-05,1.2174610578966318,0.692692500707405,2.8074212976661457,-1.5899602397388848,2.2826527463244997,2.8074212976661455e-08,0.040249940438848185,2.3059639398375804,-2.2953334100126024,3.2953334184986334,4.052911349262618e-08
D0040_seed7_default_unitbox,7,18,6.3e-05,1.2035867023970488,0.6808298386039697,2.8022890967485035,-1.5987023865087426,2.279532234283871,2.8022890967485043e-08,0.0393129798374205,2.328281868823823,-2.348167333245639,3.3481673467161985,4.115990425000396e-08
D0040_seed7_default_unitbox,7,19,6.5e-05,1.2248383294656968,0.7012043757700963,2.792595790639915,-1.5677574621545571,2.268961831296495,2.7925957906399138e-08,0.05415162473675232,2.279970934497217,-2.235806729575483,3.235806720122949,3.982570399069388e-08
