case,seed,step,Delta,threshold,through_crack,crack_x_span,crack_y_span,connected_high_alpha_area,connected_element_count,connected_min_x,connected_max_x,connected_mean_y,reaction_N_tm_eff,first_through_step_alpha_ge_0p5,reaction_at_first_through_alpha_ge_0p5,reaction_drop_after_first_through_alpha_ge_0p5_percent,first_through_step_alpha_ge_0p8,reaction_at_first_through_alpha_ge_0p8,reaction_drop_after_first_through_alpha_ge_0p8_percent,first_through_step_alpha_ge_0p95,reaction_at_first_through_alpha_ge_0p95,reaction_drop_after_first_through_alpha_ge_0p95_percent
D0040_seed7_default_unitbox,7,3,1.5e-05,0.8,False,0.0,0.0,0.0,0,,,,0.5324371788664785,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,3,1.5e-05,0.95,False,0.0,0.0,0.0,0,,,,0.5324371788664785,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,4,2e-05,0.5,False,0.0,0.0,0.0,0,,,,0.6410798690604063,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,4,2e-05,0.8,False,0.0,0.0,0.0,0,,,,0.6410798690604063,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,4,2e-05,0.95,False,0.0,0.0,0.0,0,,,,0.6410798690604063,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,5,2.5e-05,0.5,False,0.0004305657930672169,0.0002575833350419998,1.1875179950493475e-07,32,0.004947827197611332,0.005378392990678549,0.005017047573346645,0.6861076338200537,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,5,2.5e-05,0.8,False,0.00012098671868443489,8.297199383378029e-05,1.5919320972557216e-08,7,0.005021084565669298,0.005142071284353733,0.0049947286024689674,0.6861076338200537,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,5,2.5e-05,0.95,False,0.0,0.0,0.0,0,,,,0.6861076338200537,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,6,3e-05,0.5,False,0.0008859694935381413,0.000382761936634779,3.3022016054928827e-07,58,0.004939038772135973,0.005825008265674114,0.005020656101084475,0.6936550439547586,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,6,3e-05,0.8,False,0.0005011414177715778,0.0001821434125304222,9.396666911243301e-08,22,0.005021084565669298,0.005522225983440876,0.005008518124337901,0.6936550439547586,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,6,3e-05,0.95,False,0.00015442585572600365,4.343222826719284e-05,1.2758401446433254e-08,5,0.005085304379463196,0.0052397302351891994,0.005009931884706021,0.6936550439547586,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
D0040_seed7_default_unitbox,7,7,3.5e-05,0.5,False,0.0016435226425528526,0.0004431786946952343,6.505796363853733e-07,92,0.004939038772135973,0.006582561414688826,0.00503107961570925,0.6877238004177538,13,0.7155696064505834,-30.344273129606353,14,0.7072629693601249,-31.87513593539811,18,0.6808298386039697,-36.99517109545196
