case,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
alpha_intact_history_topufixed_step0,0.0020006729755550623,655,2428,9.999983012676239e-05,9.950085200216563e-11,1.011272843243205e-08,3.6440610529098194e-08,3.634110967709603e-08,5.050438289799786e-07,4.949311005475465e-07
alpha_intact_history_topufixed_step0,0.0022007401566952467,723,2393,9.999983012676239e-05,-5.298517180563067e-11,1.0098403890879126e-08,3.3842493252222994e-08,3.3895478424028624e-08,5.048759703640826e-07,4.947775664732035e-07
alpha_intact_history_topufixed_step0,0.0024008075706660748,789,2354,9.999983012676239e-05,-5.405453862294962e-11,1.0098119673784822e-08,3.140249305033649e-08,3.145654758895944e-08,5.047226068199961e-07,4.946244871462113e-07
alpha_intact_history_topufixed_step0,0.002600874751806259,863,2310,9.999983012676239e-05,-6.552980380547524e-11,1.0088001545227598e-08,2.8991637535114023e-08,2.90571673389195e-08,5.046410933573497e-07,4.945530918121221e-07
alpha_intact_history_topufixed_step0,0.002800942165777087,930,2269,9.999983012676239e-05,-6.642508765253297e-11,1.0087660484714434e-08,2.6620353921202877e-08,2.668677900885541e-08,5.046466640123981e-07,4.945590035276837e-07
alpha_intact_history_topufixed_step0,0.0030010093469172716,998,2223,9.999983012676239e-05,-7.58699769676241e-11,1.0087887858389877e-08,2.4255358610503208e-08,2.4331228587470832e-08,5.046529167884728e-07,4.945650289300829e-07
alpha_intact_history_topufixed_step0,0.0032010767608880997,1062,2176,9.999983012676239e-05,-8.284217756227008e-11,1.0087944701808738e-08,2.1905652403120257e-08,2.1988494580682527e-08,5.04657748479076e-07,4.945698037772672e-07
alpha_intact_history_topufixed_step0,0.003401143942028284,1122,2125,9.999983012676239e-05,-8.376765947559761e-11,1.0087887858389877e-08,1.956342288167434e-08,1.964719054114994e-08,5.046622959525848e-07,4.94574408094195e-07
alpha_intact_history_topufixed_step0,0.003601211355999112,1180,2070,9.999983012676239e-05,-8.326139777636854e-11,1.0088001545227598e-08,1.7221701398284495e-08,1.7304962796060863e-08,5.046669002695126e-07,4.94578898724285e-07
alpha_intact_history_topufixed_step0,0.0038012785371392965,1233,2010,9.999983012676239e-05,-8.382716742971752e-11,1.0088911039929371e-08,1.487840162184284e-08,1.4962228789272558e-08,5.046739488534513e-07,4.945850378135219e-07
alpha_intact_history_topufixed_step0,0.004001345951110125,1287,1954,9.999983012676239e-05,-8.415401708816717e-11,1.0088967883348232e-08,1.2531464754772514e-08,1.2615618771860682e-08,5.04686738622695e-07,4.945977707393467e-07
alpha_intact_history_topufixed_step0,0.004201413132250309,1339,1895,9.999983012676239e-05,-8.376677129717791e-11,1.0088513135997346e-08,1.0184617593722578e-08,1.0268384365019756e-08,5.046993010182632e-07,4.946107878822659e-07
alpha_intact_history_topufixed_step0,0.00440147565677762,1388,1841,9.999983012676239e-05,-8.403500117992735e-11,1.0088626822835067e-08,7.837979154601271e-09,7.922014155781198e-09,5.047119202572503e-07,4.946232934344152e-07
alpha_intact_history_topufixed_step0,0.0045905509032309055,1436,1789,9.999983012676239e-05,-8.424327901934703e-11,1.0088456292578485e-08,5.619657184041671e-09,5.703900463061018e-09,5.047239710620488e-07,4.946355147694703e-07
alpha_intact_history_topufixed_step0,0.004754123743623495,1487,1736,9.999983012676239e-05,-8.355804936854838e-11,1.0088740509672789e-08,3.701264628119816e-09,3.784822677488364e-09,5.047346576247946e-07,4.946459171151218e-07
