group,case,seed,metric,first_alpha0p8_through_step,first_alpha0p8_through_Delta,reaction_at_first_through_N,final_reaction_N,peak_abs_reaction_N,drop_after_first_through_fraction_abs,drop_after_first_through_percent_abs
D0020,D0020_seed7_default_unitbox,7,legacy_top_sigma_integral_N,14,5.5e-05,0.7072629693601249,0.7899184746855936,0.7958803769827807,-0.11686672271312158,-11.686672271312158
D0020,D0020_seed7_default_unitbox,7,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.25567347467117874,0.01555129494667997,1.3338379899113004,0.9391751726819512,93.91751726819511
D0020,D0020_seed7_default_unitbox,7,saved_field_virtual_work_proxy_N,14,5.5e-05,-17.608340665019888,-110.92317713675307,110.92317713675307,-5.299467919604098,-529.9467919604098
D0020,D0020_seed7_default_unitbox,7,bottom_sigma_integral_outward_N,14,5.5e-05,-1.1384535236977151,-1.1025055167602835,1.1435445206856414,0.031576174335753215,3.1576174335753215
D0020,D0020_seed7_default_unitbox,7,internal_cut_force_above_crack_N,14,5.5e-05,0.5254807156245351,0.39063362048687367,0.8822949457890932,0.2566166390661841,25.661663906618408
D0020,D0020_seed13_default_unitbox,13,legacy_top_sigma_integral_N,14,5.5e-05,0.7813714869508857,0.958831328768616,0.958831328768616,-0.22711328066272893,-22.71132806627289
D0020,D0020_seed13_default_unitbox,13,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.3121347093424081,-0.029933317488825977,1.331771600852385,0.904101285140995,90.4101285140995
D0020,D0020_seed13_default_unitbox,13,saved_field_virtual_work_proxy_N,14,5.5e-05,-16.985382978025335,-111.55984237051312,111.55984237051312,-5.567990990538307,-556.7990990538308
D0020,D0020_seed13_default_unitbox,13,bottom_sigma_integral_outward_N,14,5.5e-05,-1.1363955282225635,-1.0400921294741883,1.1425736511846074,0.08474461255492918,8.474461255492919
D0020,D0020_seed13_default_unitbox,13,internal_cut_force_above_crack_N,14,5.5e-05,0.657007874691753,0.3844440100854943,0.9003394205995543,0.41485631315170607,41.48563131517061
D0020,D0020_seed21_default_unitbox,21,legacy_top_sigma_integral_N,14,5.5e-05,0.7727905019544347,0.8642315052619483,0.8642315052619483,-0.11832573391657075,-11.832573391657075
D0020,D0020_seed21_default_unitbox,21,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.5015118179600205,-0.2730514093686565,1.3313237769551656,0.4555434197356769,45.55434197356769
D0020,D0020_seed21_default_unitbox,21,saved_field_virtual_work_proxy_N,14,5.5e-05,-18.82194515069789,-112.37498046105135,112.37498046105135,-4.970423330921494,-497.0423330921494
D0020,D0020_seed21_default_unitbox,21,bottom_sigma_integral_outward_N,14,5.5e-05,-1.1345825627458557,-1.0706755392729026,1.1471067253841076,0.05632646364517425,5.6326463645174245
D0020,D0020_seed21_default_unitbox,21,internal_cut_force_above_crack_N,14,5.5e-05,0.6696828855761684,0.46553699018558986,0.9084752540120073,0.30483964841798156,30.483964841798155
D0020,D0020_seed42_default_unitbox,42,legacy_top_sigma_integral_N,14,5.5e-05,0.7530319747592928,0.8663928437020306,0.9163715271885304,-0.1505392503140038,-15.05392503140038
D0020,D0020_seed42_default_unitbox,42,saved_field_energy_fd_proxy_N,14,5.5e-05,-0.4867206647211578,-0.13847839324818034,1.3363436392697854,0.7154869244610467,71.54869244610467
D0020,D0020_seed42_default_unitbox,42,saved_field_virtual_work_proxy_N,14,5.5e-05,-19.290781871347562,-114.45556190966366,114.45556190966366,-4.933173817058372,-493.3173817058372
D0020,D0020_seed42_default_unitbox,42,bottom_sigma_integral_outward_N,14,5.5e-05,-1.139314442347799,-1.0249867465687845,1.1455959485287805,0.10034779822804493,10.034779822804493
D0020,D0020_seed42_default_unitbox,42,internal_cut_force_above_crack_N,14,5.5e-05,0.561740261068533,0.471866717343154,0.8985239498891263,0.1599912805865527,15.999128058655272
D0020,D0020_seed99_default_unitbox,99,legacy_top_sigma_integral_N,16,5.9e-05,0.7197636455033255,0.9658389669586722,0.9658389669586722,-0.341883509944807,-34.1883509944807
D0020,D0020_seed99_default_unitbox,99,saved_field_energy_fd_proxy_N,16,5.9e-05,-0.4257143237366753,-0.7394146491648738,1.3316903142724852,-0.7368798932455869,-73.68798932455869
D0020,D0020_seed99_default_unitbox,99,saved_field_virtual_work_proxy_N,16,5.9e-05,-25.379196537710605,-117.90120541312132,117.90120541312132,-3.645584632198009,-364.5584632198009
D0020,D0020_seed99_default_unitbox,99,bottom_sigma_integral_outward_N,16,5.9e-05,-1.1276426097764185,-1.0886578327297673,1.1410534769340723,0.03457192616584504,3.4571926165845044
D0020,D0020_seed99_default_unitbox,99,internal_cut_force_above_crack_N,16,5.9e-05,0.5152420101309148,0.47027735571892515,0.8916190467728279,0.08726899889348076,8.726899889348076
