group,case,seed,metric,initial_reaction_N,peak_abs_reaction_N,peak_step,peak_Delta,final_reaction_N,final_abs_reaction_N,post_peak_drop_fraction_abs,post_peak_drop_percent_abs,final_alpha0p8_through_crack
D0020,D0020_seed7_default_unitbox,7,saved_field_virtual_work_proxy_N,0.054218956884240346,110.92317713675307,33,0.0001,-110.92317713675307,110.92317713675307,0.0,0.0,True
D0020,D0020_seed7_default_unitbox,7,bottom_sigma_integral_outward_N,-0.053045359845680325,1.1435445206856414,10,4.7e-05,-1.1025055167602835,1.1025055167602835,0.0358875436705795,3.58875436705795,True
D0020,D0020_seed7_default_unitbox,7,internal_cut_force_above_crack_N,0.04414107994208334,0.8822949457890932,6,3e-05,0.39063362048687367,0.39063362048687367,0.5572527958465127,55.72527958465127,True
D0020,D0020_seed13_default_unitbox,13,legacy_top_sigma_integral_N,0.03744230257884912,0.958831328768616,33,0.0001,0.958831328768616,0.958831328768616,0.0,0.0,True
D0020,D0020_seed13_default_unitbox,13,saved_field_energy_fd_proxy_N,0.25327316239533537,1.331771600852385,4,2e-05,-0.029933317488825977,0.029933317488825977,0.9775236853904473,97.75236853904474,True
D0020,D0020_seed13_default_unitbox,13,saved_field_virtual_work_proxy_N,0.05400784070670412,111.55984237051312,33,0.0001,-111.55984237051312,111.55984237051312,0.0,0.0,True
D0020,D0020_seed13_default_unitbox,13,bottom_sigma_integral_outward_N,-0.05311690276726277,1.1425736511846074,9,4.5e-05,-1.0400921294741883,1.0400921294741883,0.08969358045686372,8.969358045686372,True
D0020,D0020_seed13_default_unitbox,13,internal_cut_force_above_crack_N,0.044219042244333165,0.9003394205995543,6,3e-05,0.3844440100854943,0.3844440100854943,0.5730010246252628,57.30010246252628,True
D0020,D0020_seed21_default_unitbox,21,legacy_top_sigma_integral_N,0.037066035951273606,0.8642315052619483,33,0.0001,0.8642315052619483,0.8642315052619483,0.0,0.0,True
D0020,D0020_seed21_default_unitbox,21,saved_field_energy_fd_proxy_N,0.25317895694594367,1.3313237769551656,4,2e-05,-0.2730514093686565,0.2730514093686565,0.7949023264700155,79.49023264700155,True
D0020,D0020_seed21_default_unitbox,21,saved_field_virtual_work_proxy_N,0.05412897947989082,112.37498046105135,33,0.0001,-112.37498046105135,112.37498046105135,0.0,0.0,True
D0020,D0020_seed21_default_unitbox,21,bottom_sigma_integral_outward_N,-0.05304657098051248,1.1471067253841076,12,5.1e-05,-1.0706755392729026,1.0706755392729026,0.06662953360822824,6.662953360822824,True
D0020,D0020_seed21_default_unitbox,21,internal_cut_force_above_crack_N,0.04421076595957674,0.9084752540120073,6,3e-05,0.46553699018558986,0.46553699018558986,0.48756227742067165,48.75622774206717,True
D0020,D0020_seed42_default_unitbox,42,legacy_top_sigma_integral_N,0.037233147324741575,0.9163715271885304,32,9.8e-05,0.8663928437020306,0.8663928437020306,0.05453976035226311,5.453976035226311,True
D0020,D0020_seed42_default_unitbox,42,saved_field_energy_fd_proxy_N,0.25245690307156193,1.3363436392697854,4,2e-05,-0.13847839324818034,0.13847839324818034,0.8963751619128081,89.63751619128081,True
D0020,D0020_seed42_default_unitbox,42,saved_field_virtual_work_proxy_N,0.054174031204676384,114.45556190966366,33,0.0001,-114.45556190966366,114.45556190966366,0.0,0.0,True
D0020,D0020_seed42_default_unitbox,42,bottom_sigma_integral_outward_N,-0.05305395666866165,1.1455959485287805,13,5.3e-05,-1.0249867465687845,1.0249867465687845,0.10528075113646056,10.528075113646056,True
D0020,D0020_seed42_default_unitbox,42,internal_cut_force_above_crack_N,0.044221294068150556,0.8985239498891263,7,3.5e-05,0.471866717343154,0.471866717343154,0.4748423596261623,47.484235962616225,True
D0020,D0020_seed99_default_unitbox,99,legacy_top_sigma_integral_N,0.03724445397643687,0.9658389669586722,33,0.0001,0.9658389669586722,0.9658389669586722,0.0,0.0,True
D0020,D0020_seed99_default_unitbox,99,saved_field_energy_fd_proxy_N,0.2529013065396682,1.3316903142724852,4,2e-05,-0.7394146491648738,0.7394146491648738,0.4447548042963556,44.47548042963556,True
D0020,D0020_seed99_default_unitbox,99,saved_field_virtual_work_proxy_N,0.054066757985356165,117.90120541312132,33,0.0001,-117.90120541312132,117.90120541312132,0.0,0.0,True
D0020,D0020_seed99_default_unitbox,99,bottom_sigma_integral_outward_N,-0.053093717367687136,1.1410534769340723,9,4.5e-05,-1.0886578327297673,1.0886578327297673,0.04591865785737603,4.591865785737603,True
D0020,D0020_seed99_default_unitbox,99,internal_cut_force_above_crack_N,0.04416997632153746,0.8916190467728279,6,3e-05,0.47027735571892515,0.47027735571892515,0.4725579748199959,47.255797481999586,True
