group,case,seed,step,Delta,strain,metric,reaction_N,alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,saved_field_virtual_work_proxy_N,0.9398889472767191,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,saved_field_virtual_work_proxy_N,0.4658370625149415,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,saved_field_virtual_work_proxy_N,-0.7361010087978155,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,saved_field_virtual_work_proxy_N,-2.9465785305114482,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,saved_field_virtual_work_proxy_N,-6.195500022566741,False
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,saved_field_virtual_work_proxy_N,-7.978900490743485,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,saved_field_virtual_work_proxy_N,-10.017037856168596,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,saved_field_virtual_work_proxy_N,-12.23308953483698,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,saved_field_virtual_work_proxy_N,-14.832742213549441,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,saved_field_virtual_work_proxy_N,-17.608340665019888,True
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,saved_field_virtual_work_proxy_N,-20.22730336295359,True
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,saved_field_virtual_work_proxy_N,-23.434065092073947,True
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,saved_field_virtual_work_proxy_N,-26.84778182860828,True
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,saved_field_virtual_work_proxy_N,-30.131356991637215,True
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,saved_field_virtual_work_proxy_N,-34.4831081097568,True
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,saved_field_virtual_work_proxy_N,-38.275005251089766,True
D0040,D0040_seed7_default_unitbox,7,21,6.9e-05,0.0069,saved_field_virtual_work_proxy_N,-42.15222135941872,True
D0040,D0040_seed7_default_unitbox,7,22,7.1e-05,0.0071,saved_field_virtual_work_proxy_N,-46.208297055391824,True
D0040,D0040_seed7_default_unitbox,7,23,7.3e-05,0.0073,saved_field_virtual_work_proxy_N,-51.1933978674549,True
D0040,D0040_seed7_default_unitbox,7,24,7.5e-05,0.007499999999999999,saved_field_virtual_work_proxy_N,-55.645829463816355,True
D0040,D0040_seed7_default_unitbox,7,25,7.7e-05,0.0077,saved_field_virtual_work_proxy_N,-59.86387244013153,True
D0040,D0040_seed7_default_unitbox,7,26,8e-05,0.008,saved_field_virtual_work_proxy_N,-65.39945821001041,True
D0040,D0040_seed7_default_unitbox,7,27,8.3e-05,0.0083,saved_field_virtual_work_proxy_N,-72.8105893720894,True
D0040,D0040_seed7_default_unitbox,7,28,8.6e-05,0.0086,saved_field_virtual_work_proxy_N,-79.64872011229646,True
D0040,D0040_seed7_default_unitbox,7,29,8.9e-05,0.0089,saved_field_virtual_work_proxy_N,-86.55277164145319,True
D0040,D0040_seed7_default_unitbox,7,30,9.2e-05,0.0092,saved_field_virtual_work_proxy_N,-92.50067568467058,True
D0040,D0040_seed7_default_unitbox,7,31,9.5e-05,0.0095,saved_field_virtual_work_proxy_N,-99.89199122062102,True
D0040,D0040_seed7_default_unitbox,7,32,9.8e-05,0.0098,saved_field_virtual_work_proxy_N,-106.6423160927572,True
D0040,D0040_seed7_default_unitbox,7,33,0.0001,0.01,saved_field_virtual_work_proxy_N,-110.92317713675307,True
D0040,D0040_seed7_default_unitbox,7,34,0.000102,0.010199999999999999,saved_field_virtual_work_proxy_N,-116.14818063672966,True
D0040,D0040_seed7_default_unitbox,7,35,0.000104,0.0104,saved_field_virtual_work_proxy_N,-121.96509216956895,True
D0040,D0040_seed7_default_unitbox,7,36,0.000106,0.0106,saved_field_virtual_work_proxy_N,-126.64199743073324,True
D0040,D0040_seed7_default_unitbox,7,37,0.000108,0.010799999999999999,saved_field_virtual_work_proxy_N,-131.48763422994847,True
D0040,D0040_seed7_default_unitbox,7,38,0.00011,0.011,saved_field_virtual_work_proxy_N,-136.00535000572071,True
D0040,D0040_seed7_default_unitbox,7,39,0.000112,0.0112,saved_field_virtual_work_proxy_N,-140.69874007590957,True
