group,case,seed,step,Delta,strain,mechanics_current_energy_proxy,history_elastic_energy_proxy,fracture_energy_proxy,saved_field_energy_fd_proxy_N,saved_field_history_energy_fd_proxy_N,saved_field_virtual_work_proxy_N,legacy_top_sigma_integral_N,alpha0p8_through_crack,method,exact_autograd_available
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,3.9287759627343465e-08,4.0480957181942445e-08,1.8710994715735322e-08,-0.01823949092681111,0.09380333305263056,-7.978900490743485,0.7131088285804633,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,3.914219155765878e-08,4.056212652208901e-08,2.0123006085310365e-08,-0.15061443841029448,-0.02327725664955267,-10.017037856168596,0.7150322508260157,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,3.868530187370228e-08,4.0387848155344236e-08,2.1444212933883713e-08,-0.3202980915640169,-0.13205261188417755,-12.23308953483698,0.7128582664111426,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,3.7860999191402705e-08,4.00339160745523e-08,2.2585660889606728e-08,-0.3962776814245249,-0.17493139628655363,-14.832742213549441,0.7155696064505835,False,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,3.7100191148004184e-08,3.968812257019802e-08,2.3382333236002964e-08,-0.25567347467117874,-0.1384619672799639,-17.608340665019888,0.7072629693601249,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,3.6838305292717993e-08,3.9480068205432445e-08,2.3812387551410067e-08,-0.23737530417944874,-0.0914128427035605,-20.22730336295359,0.704153397087716,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,3.6150689931286395e-08,3.932247119938379e-08,2.413056514529206e-08,-0.31032832325581305,-0.06774209893191906,-23.434065092073947,0.6886949317820551,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,3.5596991999694746e-08,3.9209099809704773e-08,2.4345087734434368e-08,-0.19605453589022562,-0.045545871830166354,-26.84778182860828,0.692692500707405,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,3.5366471787725495e-08,3.9140287712063125e-08,2.448810991122388e-08,-0.2824903417332006,-0.030085746280005682,-30.131356991637215,0.6808298386039698,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,3.446703063276195e-08,3.908875682458475e-08,2.4585260613936278e-08,-0.3344213684007991,-0.02523503234380664,-34.4831081097568,0.7012043757700963,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,3.4028786314122305e-08,3.9039347582687905e-08,2.468335481630531e-08,-0.18029700910343616,-0.01663141325232778,-38.275005251089766,0.7002755900550559,True,saved_field_proxy,False
D0040,D0040_seed7_default_unitbox,7,21,6.9e-05,0.0069,3.37458425963482e-08,3.902223117157543e-08,2.4731096108015447e-08,-0.17698011480803827,-0.011774279119544304,-42.15222135941872,0.7261497185135061,True,saved_field_proxy,False
