case,seed,variant,bc_treatment,energy_conjugate_reaction_N,top_sigma_integral_reaction_N,bottom_sigma_integral_reaction_N,top_constrained_dof_reaction_N,bottom_constrained_dof_reaction_N,top_sigma_minus_energy_conjugate_N,top_sigma_to_energy_conjugate_ratio,all_boundary_vertical_residual_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_to_top_ratio,internal_cut_below_to_top_ratio,crack_band_interface_force_N
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,original_top_bottom_bc,2.6129272356900657e-14,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,-2.3859106303053263e-14,0.08688210000030294,-2.5546591120276515e-14,-9.979378548807452e-14,0.0,,,4.9949048785403743e-14
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,minimal_rigid_body_bc,-2.0079424234431542e-13,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,8.840411245684549e-14,0.5597278516320553,-4.1876492559392663e-13,8.781254476254062e-14,0.0,-0.781319007731929,-0.0,6.042523841945686e-14
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,2.6129272356900657e-14,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,-2.3859106303053263e-14,0.08688210000030294,-2.5546591120276515e-14,-9.979378548807452e-14,0.0,,,4.9949048785403743e-14
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,-2.0079424234431542e-13,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,8.840411245684549e-14,0.5597278516320553,-4.1876492559392663e-13,8.781254476254062e-14,0.0,-0.781319007731929,-0.0,6.042523841945686e-14
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,1.1590121223870042e-13,1.0647326703169345e-13,0.0,1.1590121223870042e-13,0.0,-9.427945207006973e-15,0.9186553356526593,9.58153841017993e-14,5.86961827193589e-14,0.0,0.5512762438470781,0.0,4.821955769751839e-14
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,1.192622389734055e-13,4.762209344230389e-14,0.0,1.192622389734055e-13,0.0,-7.16401455311016e-14,0.3993057136293008,1.8904256975827126e-13,3.8164471064681293e-13,0.0,8.014026328119973,0.0,4.052133888227303e-14
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,original_top_bottom_bc,0.007373852857067058,0.007362949225679203,-0.0074377174820068545,0.007373852857067058,-0.007373852857471194,-1.09036313878548e-05,0.9985213115044186,-0.0004277443929274049,0.007364650963791609,0.007377782632784015,1.0002311218046256,1.0020146013031135,0.019401662883657148
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,minimal_rigid_body_bc,0.00733195858815738,0.005209511623231968,-0.005323926490117819,0.00733195858815738,-0.007331958588168251,-0.002122446964925412,0.7105211466478275,-0.0002299334930283498,0.0072846127251109515,0.007313520759486462,1.3983292968624947,1.4038783840833764,0.020588109988564578
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,original_top_bottom_bc,-2.2714035513571318e-13,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,9.12066445971514e-15,0.9598456890046435,-2.7110997416190643e-13,-2.3766224906923936e-13,0.0,1.0900953410783083,-0.0,3.340967737409483e-14
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,minimal_rigid_body_bc,1.43982048506075e-13,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,-3.652095657962297e-14,0.7463506252442155,3.4210039153091075e-13,2.93363786660318e-14,0.0,0.27299535245845125,0.0,5.688682558435787e-14
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,-2.2714035513571318e-13,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,9.12066445971514e-15,0.9598456890046435,-2.7110997416190643e-13,-2.3766224906923936e-13,0.0,1.0900953410783083,-0.0,3.340967737409483e-14
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,1.43982048506075e-13,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,-3.652095657962297e-14,0.7463506252442155,3.4210039153091075e-13,2.93363786660318e-14,0.0,0.27299535245845125,0.0,5.688682558435787e-14
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,-1.3877787807814457e-13,-1.3598493676457377e-13,0.0,-1.3877787807814457e-13,0.0,2.7929413135707968e-15,0.9798747368654959,-1.9224542102439027e-13,-2.0402222048951276e-13,0.0,1.5003295610802077,-0.0,3.10890074754164e-14
